rrq4k/6p1/2N4p/8/6R1/5n2/4K3/1B6 b - - acn 2939550; acs 5; bm Qxg4 Rb2+ Rxb1; ce 32756; dm 6; pv Rb2+ Bc2 Rxc2+ Ke3 Ra3+ Kf4 Qc7+ Ke4 Rc4+ Nd4 Qe5#;
8/3p4/1K1P4/8/1kNp1p2/3P1P2/2PP4/3B4 w - - acn 31550; acs 0; bm Be2; ce 32756; dm 6; pv Be2 Ka4 Bf1 Kb4 Bh3 Ka4 Bxd7+ Kb4 Kc6 Ka4 Kc5#;
8/3p4/1K1P4/3rRp2/2pkr3/8/n4P2/1n6 b - - acn 261903; acs 1; bm Kxe5; ce 32756; dm 6; pv Kxe5 f4+ Ke6 Ka6 c3 Kb6 Rb4+ Ka6 c2 Ka7 Ra5#;
8/3p3r/3p2p1/6R1/k2P1PQ1/3RKp2/8/8 w - - acn 172694; acs 0; bm Qg1 Qxf3; ce 32756; dm 6; pv Qg1 Re7+ Kxf3 Re3+ Qxe3 d5 Rxd5 g5 Ra3+ Kb4 Qb3#;
8/3p3q/3k4/1p6/8/8/5Kp1/6B1 b - - acn 536652; acs 1; bm Qh1; ce 32756; dm 6; pv Qh1 Ke2 Qxg1 Kd2 Qf2+ Kd3 g1=Q Kc3 Qa1+ Kd3 Qad4#;
8/3p3p/3P2p1/1Pp5/4kPP1/1B2p3/1r1pNb2/K7 b - - acn 44106; acs 0; bm Rxb3; ce 32756; dm 6; pv Rxb3 Nc3+ Rxc3 Kb2 d1=Q Kxc3 Qb1 g5 Be1+ Kc4 Qc2#;
8/3p3p/2PN1Bkr/4P2b/5pnr/1pPPpP1p/1P2P2P/5KQ1 w - - acn 142557; acs 0; bm Ke1; ce 32756; dm 6; pv Ke1 dxc6 Kd1 c5 Kc1 c4 Kb1 cxd3 Ka1 d2 Qb1#;
8/3p3p/1p2p3/7B/2Kp2r1/8/8/Qq1k2nR w - - acn 29570; acs 0; bm Qxb1+; ce 32756; dm 6; pv Qxb1+ Kd2 Qd3+ Ke1 Rxg1+ Kf2 Rf1+ Kg2 Qf3+ Kh2 Rh1#;
8/3p3p/1p1P1p2/1P1P1P1B/RP1B1p1P/N4P2/k1P3p1/6K1 w - - acn 296241; acs 1; bm Bxf6 Ra7; ce 32756; dm 6; pv Bxf6 h6 Bg6 h5 Ba1 Kxa1 Nc4+ Kb1 f6 Kc1 Ra1#;
8/3p3R/8/P7/1K1k2N1/8/4P3/8 w - - acn 565034; acs 1; bm a6; ce 32756; dm 6; pv a6 Ke4 a7 d6 a8=Q+ Kf4 Qf8+ Kxg4 Rg7+ Kh4 Qh8#;
8/3p3N/6r1/8/2k5/1rqpp3/1bRPB2K/8 b - - acn 391627; acs 1; bm Qxc2 dxe2; ce 32756; dm 6; pv dxe2 d3+ Kb4 Ng5 e1=Q d4 Qh4+ Nh3 Qxc2+ Kh1 Qxh3#;
8/3p3K/2pkp3/3NR3/8/6p1/2p4b/1b5r b - - acn 328010; acs 1; bm c1=Q+ cxd5 g2; ce 32756; dm 6; pv c1=Q+ Kg7 cxd5 Rxd5+ exd5 Kf7 Qf4+ Kg7 Rf1 Kg8 Qf8#;
8/3p3K/1p1B4/1b1k1N2/2p1r3/8/3P2Q1/8 w - - acn 1224567; acs 3; bm d3; ce 32756; dm 6; pv d3 cxd3 Qa2+ Rc4 Qa8+ Rc6 Qg8+ Ke4 Qg2+ Kxf5 Qg6#;
8/3p3K/1RRP4/1P1k4/4N3/8/2N5/8 w - - acn 640884; acs 1; bm Nc3+ Nf6+ Rc3 Rc5+; ce 32756; dm 6; pv Nc3+ Ke5 Rc5+ Kf4 Rb8 Kg4 Rg8+ Kh4 b6 Kh3 Rh5#;
8/3p3B/4pp1q/2np1P1P/R2Pk1p1/2pnp1P1/7b/K7 b - - acn 86162; acs 0; bm Kf3 Nxa4; ce 32756; dm 6; pv Nxa4 fxe6+ Qxh7 h6 e2 e7 Qxe7 h7 Qa3+ Kb1 Qb2#;
8/3p2r1/b2kp2b/3r2B1/2ppB3/7K/8/8 b - - acn 1521528; acs 2; bm Rdxg5; ce 32756; dm 6; pv Rdxg5 Kh4 Rg4+ Kh5 Bf4 Bf3 R7g5+ Kh6 Rf5+ Kh7 Rh5#;
8/3p2q1/4b3/1P1kbN1n/3N4/4B3/8/K7 b - - acn 694501; acs 1; bm Qg2; ce 32756; dm 6; pv Qg2 Ne7+ Kc4 b6 Bxd4+ Bxd4 Kb3 Bf2 Qf1+ Be1 Qxe1#;
8/3p2q1/3k3P/1p5R/7K/1p1NP3/2R5/7B w - - acn 51513; acs 0; bm Rd5+ hxg7; ce 32756; dm 6; pv Rd5+ Ke6 hxg7 bxc2 g8=Q+ Ke7 Qg7+ Ke8 Rxd7 c1=Q Qe7#;
8/3p2pb/3P2p1/K2p1PP1/P2B1Pp1/p2P2P1/k1B5/8 w - - acn 143420; acs 0; bm Kb4; ce 32756; dm 6; pv Kb4 gxf5 a5 g6 a6 Bg8 a7 Bf7 a8=Q Bg8 Qxa3#;
8/3p2p1/p5K1/p1P2p2/p2k1P2/P2P4/2P2P2/7Q w - - acn 479463; acs 1; bm c6; ce 32756; dm 6; pv c6 d6 Qa1+ Kd5 c7 Kc5 c8=Q+ Kb6 Qb1+ Ka7 Qcb7#;
8/3p2p1/p5K1/p1P2p2/p2k1P2/P2P4/2P2P2/7Q w - - acn 478987; acs 1; bm c6; ce 32756; dm 6; pv c6 d6 Qa1+ Kd5 c7 Kc5 c8=Q+ Kb6 Qb1+ Ka7 Qcb7#;
8/3p2p1/b1pP1Rnb/2pkr2R/2r3N1/q4P2/B4K2/8 b - - acn 59787; acs 0; bm Qxa2+; ce 32756; dm 6; pv Qxa2+ Kg3 Rxh5 Ne3+ Bxe3 Rf5+ Rxf5 f4 Rfxf4 Kh3 Rf3#;
8/3p2p1/3P2P1/3p1BP1/pK1P1P2/p2N4/Pp1kp1p1/1RbrrbQ1 w - - acn 283538; acs 1; bm Nf2; ce 32756; dm 6; pv Nf2 Ke3 Ne4+ Kd3 Nc5+ Kd2 Nd3 Kc2 Nxe1+ Kd2 Nf3#;
8/3p2p1/3P2P1/1p1Pp3/1P2Pk2/1Pp3p1/2P3Pp/NB5K b - - acn 1841; acs 0; bm Kxe4; ce 32756; dm 6; pv Kxe4 Ba2 Kf4 Bb1 e4 Ba2 e3 Bb1 e2 Ba2 e1=Q#;
8/3p2p1/2rBpp1r/ppP2p2/1k1p3R/1nq2P2/b2QP3/b1n4K b - - acn 247388; acs 1; bm Nxd2 Rxh4+; ce 32756; dm 6; pv Rxh4+ Kg2 Nxd2 Bf4 Nxe2 Bxd2 Qxd2 f4 Nxf4+ Kg3 Rh3#;
8/3p2p1/2pPp1P1/2P1k2P/1Pp1P3/2P2PK1/8/8 w - - acn 6673; acs 0; bm Kg4; ce 32756; dm 6; pv Kg4 Kf6 e5+ Kxe5 Kg5 Kd5 Kf4 e5+ Kf5 e4 fxe4#;
8/3p2P1/1p6/3P4/4BPp1/1P4Pb/2K2Prp/R5bk w - - acn 807284; acs 1; bm g8=R; ce 32756; dm 6; pv g8=R d6 Rga8 b5 R8a2 b4 Kd1 Bxf2 Rxf2 Kg1 Ke2#;
8/3p2NK/1B1P4/3k3n/P1R2P2/8/8/1B6 w - - acn 546030; acs 1; bm Rc5+; ce 32756; dm 6; pv Rc5+ Kxd6 Ne8+ Ke7 Re5+ Kf8 Bc5+ d6 Bxd6+ Kf7 Ba2#;
8/3p2N1/3P1p1B/5p1p/5PbP/8/5K1p/7k w - - acn 17816; acs 0; bm Ne8; ce 32756; dm 6; pv Ne8 Bf3 Bf8 Be2 Ng7 Bg4 Be7 Bf3 Nxf5 Bg4 Ng3#;
8/3p2KR/1R1p4/8/8/8/6b1/k7 w - - acn 626207; acs 1; bm Rh5; ce 32756; dm 6; pv Rh5 d5 Rh8 d4 Rh5 d5 Rh8 Bf1 Ra8+ Ba6 Raxa6#;
8/3p2K1/8/8/P7/P7/p1RN4/k7 w - - acn 330773; acs 1; bm Kg6; ce 32756; dm 6; pv Kg6 d6 a5 d5 a6 d4 a7 d3 a8=Q dxc2 Qh8#;
8/3p1r2/8/7p/3B3k/8/6RK/8 w - - acn 90811; acs 0; bm Bb6; ce 32756; dm 6; pv Bb6 Rf8 Ba5 Re8 Bc3 Re6 Bd4 Rg6 Rxg6 d6 Bf2#;
8/3p1p2/q3k3/2P5/p2PBp1B/K7/4R1r1/4r3 b - - acn 225799; acs 0; bm Rexe2 Rgxe2; ce 32756; dm 6; pv Rgxe2 d5+ Ke5 Bf6+ Kxe4 Kb4 Rb1+ Bb2 Rbxb2+ Ka3 Rb3#;
8/3p1p2/p1p2P1P/2P2p2/k1pP4/NNKRP3/RrBBrP2/nbnqb3 b - - acn 528811; acs 1; bm Bxc2 Rxb3+ Rxc2+ Rxd2; ce 32756; dm 6; pv Rxc2+ Nxc2+ Nxa2+ Kxc4 Qxc2+ Rc3 Nxc3 Nc1 Na2+ Bc3 Qxc3#;
8/3p1p2/b7/1p5p/R1p1K1kr/n6p/2p5/8 b - - acn 297238; acs 1; bm c1=Q; ce 32756; dm 6; pv c1=Q Rxa6 Qg5 Kd4 Nb1 Rf6 Kg3+ Rf4 Rxf4+ Ke3 Qe5#;
8/3p1p2/8/5ppp/5pPk/5p1P/P4P1K/6n1 b - - acn 7249; acs 0; bm Nxh3; ce 32756; dm 6; pv Nxh3 gxf5 g4 f6 g3+ fxg3+ fxg3+ Kh1 g2+ Kh2 g1=Q#;
8/3p1p2/7P/5K1k/8/8/8/8 w - - acn 4523; acs 0; bm h7; ce 32756; dm 6; pv h7 Kh4 Kf4 Kh5 h8=Q+ Kg6 Qg8+ Kh6 Kf5 f6 Qg6#;
8/3p1p2/4k3/4P3/1pN2K2/p1p5/q2P4/8 b - - acn 344366; acs 1; bm Qxc4+ c2; ce 32756; dm 6; pv Qxc4+ d4 Qxd4+ Kf3 c2 Kg3 Qg1+ Kh3 c1=Q Kh4 Qh6#;
8/3p1p2/1pn3r1/2N1n1Q1/1pkb2p1/4qP2/3B4/3K4 b - - acn 880149; acs 2; bm Qg1+ Qxf3+; ce 32756; dm 6; pv Qxf3+ Kc1 Rxg5 Nd3 Nxd3+ Kb1 Qf1+ Bc1 Qxc1+ Ka2 b3#;
8/3p1p1Q/3P1Pp1/2p5/2Pp2P1/1p1p1p2/bP1P1P2/rkBK4 w - - acn 1214; acs 0; bm Qxf7; ce 32756; dm 6; pv Qxf7 g5 Qe6 dxe6 f7 e5 f8=Q e4 Qf5 e3 Qxd3#;
8/3p1p1Q/3K4/8/7p/pp6/qrp1nN1P/bk6 w - - acn 364611; acs 1; bm Ne4; ce 32756; dm 6; pv Ne4 Nf4 Qf5 Ne6 Nc3+ Kc1 Qf2 Rb1 Qe1+ Kb2 Na4#;
8/3p1k2/3pN3/2p3Pp/2P1K2p/2P4P/5P2/1B2R3 w - - acn 314945; acs 1; bm Nd8+ Nf4; ce 32756; dm 6; pv Nd8+ Kg7 f4 d5+ Kxd5 d6 f5 Kh7 f6+ Kh8 Re8#;
8/3p1k2/2prpNNP/3p4/2rB4/4K1RP/2R1n3/3Q4 w - - acn 921255; acs 2; bm Ne5+ Nh8+; ce 32756; dm 6; pv Ne5+ Ke7 Ng8+ Kd8 Qb1 Rc3+ Rxc3 Kc8 Qb6 c5 Ne7#;
8/3p1b2/3P4/2p1k2B/1P2p1P1/N2p4/4P3/r1n3Kn b - - acn 418361; acs 1; bm Nxe2+ d2; ce 32756; dm 6; pv Nxe2+ Kg2 d2 Nc4+ Bxc4 g5 d1=Q g6 Qg1+ Kh3 Qg3#;
8/3p1P2/1p1P2p1/4p1p1/1P1k4/2pPn1P1/2PnK3/P6Q w - - acn 145771; acs 0; bm f8=Q; ce 32756; dm 6; pv f8=Q e4 Qhh8+ Kd5 Qa8+ Kxd6 Qf6+ Kc7 Qad8+ Kb7 Qfxb6#;
8/3p1P1K/5k2/8/8/8/5B2/8 w - - acn 307283; acs 0; bm f8=Q+; ce 32756; dm 6; pv f8=Q+ Ke6 Kg6 Ke5 Qf5+ Kd6 Qc5+ Ke6 Bg3 d6 Qxd6#;
8/3p1K2/k4B2/3r1r2/8/ppp5/8/8 b - - acn 1536769; acs 2; bm Rd6 a2 b2 c2; ce 32756; dm 6; pv c2 Kg7 c1=Q Bh4 Qg1+ Bg5 Qxg5+ Kh7 Qe7+ Kh8 Rf8#;
8/3p1K2/3b1n2/p2nkr2/qrbNp3/1pQP4/4p3/8 b - - acn 246121; acs 1; bm Nxc3+; ce 32756; dm 6; pv Nxc3+ dxc4 e1=Q Nc6+ Qxc6 c5 Ne8+ Kg8 Qg1+ Kh8 Qg7#;
8/3p1K2/3P1N2/6k1/8/6B1/6P1/8 w - - acn 109494; acs 0; bm Be5; ce 32756; dm 6; pv Be5 Kf5 Bh2 Kg5 g3 Kf5 g4+ Kg5 Bg3 Kh6 Bf4#;
8/3np3/3nbk2/3r1pb1/3P1r2/1K6/2PP4/2R5 b - - acn 1065304; acs 2; bm Rb5+ Rf3+; ce 32756; dm 6; pv Rf3+ c3 Rb5+ Ka3 Bxd2 d5 Bxc1+ Ka2 Rxc3 dxe6 Ra3#;
8/3np2p/q2p1p2/1p6/6kP/p1p1P1N1/B1b2PP1/4K2R w - - acn 81052; acs 0; bm Bf7; ce 32756; dm 6; pv Bf7 Bg6 Be6+ f5 Bc4 b4 Bxa6 f4 Be2+ f3 gxf3#;
8/3np1K1/2p1k1n1/6p1/2pQ4/3N4/2P1P1P1/4R3 w - - acn 1251023; acs 1; bm Kxg6; ce 32756; dm 6; pv Kxg6 Nf8+ Kg7 g4 Nc5+ Kf5 Rf1+ Kg5 Ne4+ Kh5 Rh1#;
8/3np1K1/2p1k1n1/6p1/2pQ4/3N4/2P1P1P1/4R3 w - - acn 1250791; acs 1; bm Kxg6; ce 32756; dm 6; pv Kxg6 Nf8+ Kg7 g4 Nc5+ Kf5 Rf1+ Kg5 Ne4+ Kh5 Rh1#;
8/3np1K1/2kN2R1/2PNp3/1p6/1n6/8/2R4B w - - acn 2332462; acs 5; bm Nxb4+; ce 32756; dm 6; pv Nxb4+ Kc7 Na6+ Kd8 c6 e6 c7+ Ke7 Nc8+ Ke8 Rxe6#;
8/3n4/5p2/3NBNkP/5R2/8/3P4/3B1K2 w - - acn 2815867; acs 5; bm Ba1 Bb2 Bc3 Bc7 Bd4 Bd6; ce 32756; dm 6; pv Bd4 Ne5 d3 Ng4 Rxg4+ Kxf5 Re4 Kg5 Be3+ Kf5 Ne7#;
8/3n4/5n2/2N1rp2/2kpp3/4p1K1/8/8 b - - acn 318310; acs 1; bm Kxc5 Rxc5; ce 32756; dm 6; pv Rxc5 Kh3 f4 Kh2 Rh5+ Kg2 d3 Kg1 f3 Kf1 Rh1#;
8/3n4/1Rp2N2/2k4p/p6r/2NK3b/3n2p1/3r4 b - - acn 151264; acs 0; bm g1=Q; ce 32756; dm 6; pv g1=Q Nxd7+ Bxd7 Nxa4+ Rxa4 Rxc6+ Bxc6 Kc3 Qg3+ Kc2 Qb3#;
8/3n3K/6pp/3P4/3P1r2/2P1k3/1n1pP1bp/2NrB3 b - - acn 2806222; acs 5; bm Rf7+ Rxe1 dxe1=Q dxe1=R; ce 32756; dm 6; pv Rf7+ Kxg6 Rf6+ Kg7 dxe1=Q d6 Qg3+ Kh7 Qg6+ Kh8 Rf8#;
8/3n1q2/8/1K6/5k2/3Pr3/8/2N5 b - - acn 4077376; acs 6; bm Kg3 Kg4 Kg5 Nb6 Ne5 Qd5+ Qe6 Qe7 Qf5+ Qf6 Qf8 Qg6 Qg7 Qg8 Qh5+ Re1 Re6 Re8; ce 32756; dm 6; pv Qf5+ Kb4 Qc5+ Ka4 Qxc1 Kb4 Qb2+ Kc4 Rxd3 Kxd3 Ne5#;
8/3n1p2/8/2rk2K1/8/8/8/8 b - - acn 377254; acs 1; bm Ke5 Rc4; ce 32756; dm 6; pv Rc4 Kh5 Nf6+ Kg5 Ke5 Kh6 Ke6 Kg5 Rg4+ Kh6 Rg6#;
8/3n1kp1/p4p2/6P1/qP1BQ3/5PK1/8/8 w - - acn 216887; acs 1; bm g6+; ce 32756; dm 6; pv g6+ Kf8 Qe6 Qa2 Qxd7 Qd5 Bc5+ Qd6+ Qxd6+ Kg8 Qf8#;
8/3kpP2/3p4/5R2/8/7K/8/8 w - - acn 562227; acs 1; bm f8=Q; ce 32756; dm 6; pv f8=Q e6 Qg7+ Kc6 Qc3+ Kb6 Rf4 e5 Rb4+ Ka6 Qa3#;
8/3kp1Bb/R2NN3/8/4q2R/8/K4n2/1B6 w - - acn 274402; acs 1; bm Nxe4; ce 32756; dm 6; pv Nxe4 Nxe4 Rxh7 Nc3+ Bxc3 Kc8 Rh8+ Kb7 Nc5+ Kc7 Ba5#;
8/3kb3/r1R5/3KR3/8/8/8/8 w - - acn 104638; acs 0; bm Rxa6; ce 32756; dm 6; pv Rxa6 Bd8 Ra7+ Bc7 Re6 Kd8 Kc6 Bd6 Rd7+ Kc8 Re8#;
8/3kPK2/8/8/8/8/8/8 w - - acn 2470; acs 0; bm e8=Q+; ce 32756; dm 6; pv e8=Q+ Kc7 Qb5 Kc8 Qb6 Kd7 Qc5 Kd8 Ke6 Ke8 Qc8#;
8/3kP3/5KP1/8/8/8/8/8 w - - acn 20016; acs 0; bm g7; ce 32756; dm 6; pv g7 Kc7 g8=Q Kb7 Qg2+ Kc7 e8=Q Kb6 Qgc6+ Ka5 Qb5#;
8/3kP2p/1P4p1/3pR3/1n6/3p3P/3K1PP1/8 w - - acn 466610; acs 1; bm e8=Q+; ce 32756; dm 6; pv e8=Q+ Kd6 Qe7+ Kc6 Qxb4 h6 b7 h5 b8=Q h4 Q4d6#;
8/3k4/K7/8/1N1b3P/5p2/7r/8 b - - acn 451964; acs 1; bm f2; ce 32756; dm 6; pv f2 h5 f1=Q+ Ka5 Qb1 h6 Bc3 h7 Qxb4+ Ka6 Ra2#;
8/3k4/8/P1R5/3K4/8/8/8 w - - acn 91078; acs 0; bm Ke5 a6; ce 32756; dm 6; pv a6 Ke7 a7 Kf7 a8=Q Kg7 Qa6 Kh7 Rc7+ Kh8 Qc8#;
8/3k4/8/B6B/8/8/3K4/3R4 w - - acn 1000083; acs 1; bm Ke2+ Ke3+ Re1; ce 32756; dm 6; pv Ke2+ Kc6 Be8+ Kc5 Ba4 Kc4 Ke3 Kc5 Ke4 Kc4 Rc1#;
8/3k4/8/8/8/8/PPPPPPPP/RNBQKBNR w KQ - acn 113652; acs 0; bm e4; ce 32756; dm 6; pv e4 Ke7 Qg4 Kf7 Qd7+ Kf8 d3 Kg8 Bh6 Kh8 Qg7#;
8/3k4/8/8/8/4K3/8/5Q1N w - - acn 487881; acs 1; bm Qf6; ce 32756; dm 6; pv Qf6 Kc7 Kd4 Kd7 Kc5 Kc7 Qf7+ Kc8 Kc6 Kd8 Qd7#;
8/3k4/8/8/4Q3/2K5/8/8 w - - acn 67153; acs 0; bm Kb4 Kc4 Kd4; ce 32756; dm 6; pv Kc4 Kc7 Qe7+ Kc6 Qd8 Kb7 Kc5 Ka7 Kc6 Ka6 Qb6#;
8/3k4/8/8/2K5/8/8/6q1 b - - acn 56660; acs 0; bm Qe3; ce 32756; dm 6; pv Qe3 Kb4 Qd3 Ka4 Qb1 Ka5 Qb2 Ka6 Kc6 Ka7 Qb7#;
8/3k4/8/8/1p1N4/R6K/3p4/3q4 b - - acn 128980; acs 0; bm Qh5+ bxa3; ce 32756; dm 6; pv Qh5+ Kg3 bxa3 Nb3 Qg5+ Kh3 d1=Q Nc5+ Ke7 Na6 Qdh5#;
8/3k4/8/4RP2/4K3/8/8/8 w - - acn 60623; acs 0; bm Kd5 f6; ce 32756; dm 6; pv f6 Kc7 f7 Kd7 f8=Q Kc7 Qf6 Kd7 Re7+ Kd8 Qf8#;
8/3k4/8/4Q3/5K2/8/8/8 w - - acn 18533; acs 0; bm Kf5 Qa5 Qb5+ Qc5 Qd5+ Qf6; ce 32756; dm 6; pv Qd5+ Kc7 Ke5 Kc8 Qb5 Kd8 Qb7 Ke8 Ke6 Kf8 Qf7#;
8/3k4/8/3K4/6q1/8/8/8 b - - acn 51517; acs 0; bm Kc7 Qe2 Qf4; ce 32756; dm 6; pv Qf4 Kc5 Qe4 Kb5 Qd4 Ka6 Qb4 Ka7 Kc7 Ka8 Qb8#;
8/3k4/6R1/7P/3K4/8/8/8 w - - acn 105214; acs 0; bm Kc4 Kc5 Kd5 Ke4 Ke5 h6; ce 32756; dm 6; pv h6 Ke7 h7 Kf7 Rh6 Kg7 h8=Q+ Kf7 Kd5 Ke7 Rh7#;
8/3k4/5KP1/8/8/8/4B3/8 w - - acn 6068; acs 0; bm g7; ce 32756; dm 6; pv g7 Kc7 g8=Q Kb7 Qe6 Kc7 Ba6 Kb8 Qb6+ Ka8 Qb7#;
8/3k4/5KP1/8/8/3B4/8/8 w - - acn 16688; acs 0; bm g7; ce 32756; dm 6; pv g7 Kc7 g8=Q Kb7 Qe6 Kc7 Ba6 Kb8 Qb6+ Ka8 Qb7#;
8/3k4/4r3/5Q2/4K3/8/8/8 w - - acn 28469; acs 0; bm Kd5; ce 32756; dm 6; pv Kd5 Ke7 Qxe6+ Kf8 Qg6 Ke7 Qg7+ Ke8 Kd6 Kd8 Qf8#;
8/3k4/3P2p1/2Pp4/6P1/2pK2Pp/P1N1P2Q/8 w - - acn 640092; acs 1; bm Kd4 Kxc3 Nb4 Nd4 Qf2 Qg1 Qh1 Qxh3 a4 g5; ce 32756; dm 6; pv g5 d4 Qxh3+ Kc6 Qc8+ Kb5 a4+ Kxa4 Qa6+ Kb3 Qa3#;
8/3k4/3P2p1/2Pp4/6P1/2pK2Pp/P1N1P2Q/8 w - - acn 639780; acs 1; bm Kd4 Kxc3 Nb4 Nd4 Qf2 Qg1 Qh1 Qxh3 a4 g5; ce 32756; dm 6; pv g5 d4 Qxh3+ Kc6 Qc8+ Kb5 a4+ Kxa4 Qa6+ Kb3 Qa3#;
8/3k4/2b5/3pK3/8/p7/p4P2/8 b - - acn 335460; acs 0; bm a1=Q+; ce 32756; dm 6; pv a1=Q+ Kf5 Qg7 f3 d4 f4 Kd8 Ke6 Be4 f5 Qe7#;
8/3k4/2NN4/B2K4/8/4P3/2P5/8 w - - acn 586965; acs 1; bm Ke5; ce 32756; dm 6; pv Ke5 Kxc6 Ke6 Kc5 Kd7 Kd5 Bb6 Ke5 Bd4+ Kd5 c4#;
8/3k4/1p6/8/4Q3/2K5/8/8 w - - acn 288882; acs 0; bm Kb4 Kc4; ce 32756; dm 6; pv Kc4 b5+ Kxb5 Kd6 Kb6 Kd7 Qe5 Kd8 Kc6 Kc8 Qe8#;
8/3k4/1p6/1R4P1/P2K2p1/8/7B/7B w - - acn 848459; acs 2; bm Re5 Rf5 Rxb6 g6; ce 32756; dm 6; pv g6 g3 g7 g2 Bxg2 Ke7 g8=Q Kd7 Qf8 Ke6 Bh3#;
8/3k4/1K1pb2N/3pr3/3p4/3p4/3n4/8 b - - acn 148580; acs 0; bm Nc4+; ce 32756; dm 6; pv Nc4+ Ka6 Kc7 Nf7 Bxf7 Ka7 Be8 Ka8 Re2 Ka7 Ra2#;
8/3k4/1B3K2/3B4/8/8/4P3/8 w - - acn 259130; acs 0; bm e3; ce 32756; dm 6; pv e3 Kd6 e4 Kd7 e5 Ke8 e6 Kf8 e7+ Ke8 Bc6#;
8/3k3p/8/rp3Pp1/4r2P/3n1K2/8/4R3 b - - acn 651593; acs 1; bm Rxe1; ce 32756; dm 6; pv Rxe1 hxg5 Ra4 g6 Rf4+ Kg3 Re3+ Kg2 Rf2+ Kg1 Re1#;
8/3k3P/K2p4/6P1/4P3/4P3/8/8 w - - acn 125696; acs 0; bm Kb5 Kb6 h8=Q; ce 32756; dm 6; pv h8=Q d5 Qf6 d4 g6 d3 g7 d2 g8=Q d1=Q Qgd8#;
8/3k3P/8/5KB1/8/8/8/8 w - - acn 130020; acs 0; bm Be3 h8=Q; ce 32756; dm 6; pv h8=Q Kc7 Be3 Kd7 Qc3 Ke7 Qc7+ Ke8 Kf6 Kf8 Qd8#;
8/3k3P/8/5K2/8/B7/8/8 w - - acn 198399; acs 0; bm h8=Q; ce 32756; dm 6; pv h8=Q Kc7 Qe8 Kb7 Qb5+ Kc7 Ke5 Kc8 Kd6 Kd8 Qb8#;
8/3k3P/8/4K3/8/8/8/8 w - - acn 2861; acs 0; bm Kd5; ce 32756; dm 6; pv Kd5 Ke7 h8=Q Kf7 Ke5 Ke7 Qh7+ Ke8 Ke6 Kf8 Qf7#;
8/3k3P/6P1/6K1/8/8/8/8 w - - acn 68711; acs 0; bm g7 h8=Q; ce 32756; dm 6; pv h8=Q Ke7 Qf6+ Kd7 g7 Kc7 Qa6 Kd7 g8=Q Ke7 Qae6#;
8/3k3P/6P1/5K2/8/8/8/8 w - - acn 32095; acs 0; bm Ke4 g7 h8=Q; ce 32756; dm 6; pv h8=Q Kc7 Qe5+ Kb7 Qb5+ Kc7 Ke6 Kc8 Kd6 Kd8 Qb8#;
8/3k3P/6K1/5N2/8/8/8/8 w - - acn 157995; acs 0; bm h8=Q; ce 32756; dm 6; pv h8=Q Kc7 Qc3+ Kb7 Nd6+ Kb6 Qc4 Ka7 Qc6 Kb8 Qb7#;
8/3k3P/5P2/4K3/8/8/8/8 w - - acn 53118; acs 0; bm Kd5 f7 h8=Q h8=R; ce 32756; dm 6; pv h8=Q Kc7 Qh7+ Kc6 f7 Kb6 f8=Q Kc6 Qa7 Kb5 Qfc5#;
8/3k3P/5KP1/8/8/8/8/8 w - - acn 43930; acs 0; bm g7 h8=Q; ce 32756; dm 6; pv h8=Q Kc7 Qh5 Kb7 Qb5+ Kc7 g7 Kc8 g8=Q+ Kc7 Qgb8#;
8/3k3P/5K2/8/5B2/8/8/8 w - - acn 243424; acs 0; bm h8=Q; ce 32756; dm 6; pv h8=Q Kc6 Qh5 Kb6 Qd5 Ka6 Qc6+ Ka7 Qb5 Ka8 Qa6#;
8/3k2P1/8/8/3K4/8/8/8 w - - acn 1305; acs 0; bm g8=Q; ce 32756; dm 6; pv g8=Q Ke7 Ke5 Kd7 Qc4 Ke7 Qc7+ Ke8 Ke6 Kf8 Qf7#;
8/3k2P1/8/4K3/8/8/8/8 w - - acn 391; acs 0; bm g8=Q; ce 32756; dm 6; pv g8=Q Kc7 Qc4+ Kd7 Qb5+ Ke7 Qb7+ Ke8 Ke6 Kf8 Qf7#;
8/3k2P1/8/3B1K2/8/8/8/8 w - - acn 229660; acs 0; bm Ke5; ce 32756; dm 6; pv Ke5 Kc7 g8=Q Kb6 Qb8+ Ka5 Qb7 Ka4 Qb6 Ka3 Qb3#;
8/3k2P1/5K2/8/8/5N2/8/8 w - - acn 238858; acs 0; bm Nd4 g8=Q; ce 32756; dm 6; pv g8=Q Kc7 Nd4 Kb7 Qb3+ Kc7 Ke6 Kc8 Kd6 Kd8 Qg8#;
8/3k2P1/5K2/8/8/1B6/8/8 w - - acn 184833; acs 0; bm Ba4+ g8=Q; ce 32756; dm 6; pv Ba4+ Kc7 g8=Q Kb7 Qb3+ Kc7 Ke6 Kc8 Kd6 Kd8 Qg8#;
8/3k2P1/5K2/7B/8/8/8/8 w - - acn 185692; acs 0; bm Be2 g8=Q; ce 32756; dm 6; pv g8=Q Kc7 Qc4+ Kb7 Qb4+ Kc7 Ke7 Kc8 Bf3 Kc7 Qb7#;
8/3k2P1/5K1P/8/8/8/8/8 w - - acn 80782; acs 0; bm g8=Q h7; ce 32756; dm 6; pv h7 Kc7 h8=Q Kd7 Qb8 Kc6 g8=Q Kc5 Qgb3 Kc6 Q3b5#;
