rr6/PPPPkPP1/4P2B/5P2/8/1q5n/3K4/8 w - - acn 55674; acs 0; bm f8=Q+; ce 32754; dm 7; pv f8=Q+ Rxf8 gxf8=Q+ Rxf8 d8=Q+ Rxd8+ cxd8=Q+ Kxd8 b8=Q+ Qxb8 axb8=Q+ Ke7 Qf8#;
8/6bK/3p4/5PR1/5P1k/n3p2P/1p1p2Pp/q2B1r2 w - - acn 182433; acs 0; bm Rg4+; ce 32754; dm 7; pv Rg4+ Kh5 Bb3 Nc4 Bxc4 d5 Bb5 Qa8 Rg5+ Kh4 g3+ Kxh3 Bxf1#;
8/6RK/8/8/7p/8/8/6Bk w - - acn 502424; acs 1; bm Kh6; ce 32754; dm 7; pv Kh6 h3 Kh5 h2 Bxh2 Kxh2 Kh4 Kh1 Kg3 Kg1 Rf7 Kh1 Rf1#;
8/6R1/8/8/5K2/6p1/6k1/8 w - - acn 155295; acs 0; bm Rxg3+; ce 32754; dm 7; pv Rxg3+ Kf2 Re3 Kg2 Re2+ Kf1 Kf3 Kg1 Re1+ Kh2 Rf1 Kh3 Rh1#;
8/6R1/8/5N1k/6p1/6Pp/7K/8 w - - acn 354314; acs 0; bm Nd4; ce 32754; dm 7; pv Nd4 Kh6 Ne6 Kh5 Nf8 Kh6 Rxg4 Kh5 Kxh3 Kh6 Rg6+ Kh5 g4#;
8/6R1/8/4q3/8/5k2/3K4/8 b - - acn 66457; acs 0; bm Qxg7; ce 32754; dm 7; pv Qxg7 Kc2 Qd4 Kb1 Qb4+ Kc1 Qb3 Kd2 Qc4 Kd1 Ke3 Ke1 Qc1#;
8/6R1/8/1k1K4/8/8/8/8 w - - acn 20880; acs 0; bm Rb7+; ce 32754; dm 7; pv Rb7+ Ka5 Rb8 Ka6 Kc5 Ka7 Rb6 Ka8 Kc6 Ka7 Kc7 Ka8 Ra6#;
8/6R1/7K/8/8/8/P7/k7 w - - acn 174103; acs 0; bm Rg2; ce 32754; dm 7; pv Rg2 Kb1 a4 Kc1 a5 Kd1 a6 Ke1 a7 Kf1 a8=Q Ke1 Qa1#;
8/6R1/6b1/8/B7/8/p7/k1K5 w - - acn 579551; acs 0; bm Bb3; ce 32754; dm 7; pv Bb3 Bc2 Bxa2 Bb3 Bb1 Bf7 Rh7 Ba2 Bxa2 Kxa2 Rh3 Ka1 Ra3#;
8/6R1/6K1/8/8/4r3/6k1/4q3 b - - acn 3591026; acs 4; bm Qf1 Qf2 Qh4 Re8 Rf3; ce 32754; dm 7; pv Rf3 Kh6+ Kh2 Rg6 Qh4+ Kg7 Qe7+ Kh8 Qf8+ Kh7 Rh3+ Rh6 Rxh6#;
8/6R1/5p2/2N1pk2/8/4P3/5N2/K7 w - - acn 6163894; acs 6; bm Nh1; ce 32754; dm 7; pv Nh1 e4 Ng3+ Ke5 Rd7 f5 Nh5 f4 exf4+ Kf5 Rg7 e3 Rg5#;
8/6R1/5N2/6P1/4Pk1P/5Np1/4K3/8 w - - acn 2651296; acs 3; bm Ne1 Ng1 Rb7 Rc7 Rd7 Re7 g6; ce 32754; dm 7; pv g6 g2 Re7 g1=N+ Nxg1 Kg3 g7 Kg2 g8=Q+ Kh2 Nf3+ Kh3 Qg4#;
8/6R1/4N3/7k/6p1/p5P1/p7/K7 w - - acn 513933; acs 1; bm Nf8; ce 32754; dm 7; pv Nf8 Kh6 Rxg4 Kh5 Rg7 Kh6 Ne6 Kh5 Nd4 Kh6 Nf5+ Kh5 g4#;
8/6QK/6p1/8/8/8/rr6/kbRN4 w - - acn 736027; acs 1; bm Kh6; ce 32754; dm 7; pv Kh6 g5 Kh5 g4 Kh4 g3 Kh3 g2 Kh2 g1=Q+ Kxg1 Ra3 Qxb2#;
8/6Q1/K7/3p4/3p4/3k4/N1RpRnN1/3b1n2 w - - acn 37144470; acs 45; bm Rcxd2+ Rxf2; ce 32754; dm 7; pv Rcxd2+ Nxd2 Nc1+ Kc3 Qc7+ Nc4 Na2+ Kb3 Qb7+ Nb6 Qxb6+ Ka3 Qb4#;
8/6Q1/8/8/8/4k3/6K1/8 w - - acn 115649; acs 0; bm Qa7+ Qc3+ Qd7 Qe5+ Qg4; ce 32754; dm 7; pv Qa7+ Kd3 Qc5 Kd2 Qc4 Kd1 Qc3 Ke2 Qd4 Ke1 Kf3 Kf1 Qd1#;
8/6Q1/8/7k/8/6p1/6p1/6Kb w - - acn 41406; acs 0; bm Qf6; ce 32754; dm 7; pv Qf6 Kg4 Qf8 Kg5 Qf7 Kg4 Qf6 Kh5 Qg7 Kh4 Qg6 Kh3 Qh5#;
8/6Q1/8/5K2/8/3k4/8/8 w - - acn 22054; acs 0; bm Ke5 Qa1 Qa7 Qd7+ Qe5 Qe7 Qf8 Qg1 Qg4; ce 32754; dm 7; pv Qd7+ Kc3 Qb5 Kc2 Kf4 Kd2 Qc4 Ke1 Qc2 Kf1 Kf3 Kg1 Qg2#;
8/6Q1/8/5K2/2k5/8/8/8 w - - acn 39433; acs 0; bm Ke4 Ke5 Qa1 Qa7 Qb2 Qd7 Qe5 Qe7 Qg4+; ce 32754; dm 7; pv Qg4+ Kc5 Ke5 Kc6 Qc4+ Kb6 Kd6 Kb7 Qb4+ Ka7 Kc6 Ka8 Qb7#;
8/6Q1/6r1/8/8/8/8/1K4k1 w - - acn 71301; acs 0; bm Qxg6+; ce 32754; dm 7; pv Qxg6+ Kf1 Qg5 Kf2 Kc2 Kf3 Kd3 Kf2 Qg4 Kf1 Ke3 Ke1 Qg1#;
8/6Q1/5K2/8/3k4/8/8/8 w - - acn 6741; acs 0; bm Qc7 Qg3; ce 32754; dm 7; pv Qc7 Ke4 Qc3 Kd5 Qb4 Kc6 Ke6 Kc7 Qb5 Kc8 Kd6 Kd8 Qb8#;
8/6Q1/4K3/8/8/3k4/8/8 w - - acn 31597; acs 0; bm Kd5 Ke5 Qa1 Qb2 Qd7+ Qe5 Qg1 Qg4 Qg5; ce 32754; dm 7; pv Qd7+ Ke3 Ke5 Kf3 Qd3+ Kf2 Kf4 Kg2 Qd2+ Kg1 Kf3 Kh1 Qg2#;
8/6Q1/1P6/4P3/7K/7p/7p/7k w - - acn 326578; acs 0; bm Kg3 Qd7 Qh6; ce 32754; dm 7; pv Qd7 Kg1 Kg3 h1=N+ Kf3 Nf2 Qd4 Kh2 Qxf2+ Kh1 e6 h2 Qf1#;
8/6Pp/8/8/2R5/kp6/p7/K7 w - - acn 23473; acs 0; bm Rc3; ce 32754; dm 7; pv Rc3 Ka4 g8=Q b2+ Kxa2 b1=Q+ Kxb1 h6 Qc4+ Ka5 Rb3 h5 Qb5#;
8/6PK/4k3/6P1/8/8/8/8 w - - acn 101666; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kd6 Qc4 Kd7 Qc5 Kd8 Qa7 Ke8 g6 Kd8 g7 Ke8 g8=Q#;
8/6PK/2k2q2/8/8/8/8/8 b - - acn 237894; acs 0; bm Qf5+; ce 32754; dm 7; pv Qf5+ Kh6 Qg4 g8=Q Qxg8 Kh5 Kd5 Kh6 Ke5 Kh5 Kf5 Kh6 Qg6#;
8/6P1/8/b7/pp6/kp6/1p6/1K6 w - - acn 40607; acs 0; bm g8=N; ce 32754; dm 7; pv g8=N Bd8 Nh6 Bb6 Nf7 Bc7 Ng5 Bd8 Ne4 Bc7 Nd2 Bd8 Nc4#;
8/6P1/8/8/8/3k4/3r4/2K5 b - - acn 122389; acs 0; bm Rg2; ce 32754; dm 7; pv Rg2 g8=Q Rxg8 Kb2 Rb8+ Ka3 Kc4 Ka2 Kc3 Ka1 Kc2 Ka2 Ra8#;
8/6P1/8/8/5k2/3K4/8/8 w - - acn 4511; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kf5 Qe8 Kg5 Ke4 Kf6 Kf4 Kg7 Kf5 Kh7 Kf6 Kh6 Qg6#;
8/6P1/8/8/5Q2/2pk4/3p4/1b1K4 w - - acn 94539; acs 0; bm Qf5+; ce 32754; dm 7; pv Qf5+ Ke3 Qxb1 c2+ Qxc2 Kf3 Qc3+ Kf4 g8=Q Ke4 Qg6+ Kf4 Qcg3#;
8/6P1/8/8/5K2/8/4k3/8 w - - acn 5000; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kd3 Qb3+ Kd4 Qb5 Kc3 Ke3 Kc2 Qb4 Kc1 Kd3 Kd1 Qb1#;
8/6P1/8/8/4K3/8/3k4/8 w - - acn 7616; acs 0; bm Kd4 g8=Q; ce 32754; dm 7; pv g8=Q Kc3 Qh8+ Kb3 Qd4 Ka3 Qb6 Ka4 Kd4 Ka3 Kc3 Ka4 Qb4#;
8/6P1/8/8/3K4/5k2/8/8 w - - acn 25; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kf4 Qf8+ Kg4 Qf7 Kh4 Qg7 Kh5 Ke4 Kh4 Kf4 Kh5 Qg5#;
8/6P1/8/8/3K2k1/8/8/8 w - - acn 7751; acs 0; bm Ke4 g8=Q+; ce 32754; dm 7; pv g8=Q+ Kf4 Qf8+ Kg4 Qf7 Kh4 Qg7 Kh5 Ke4 Kh4 Kf4 Kh5 Qg5#;
8/6P1/8/8/3K1k2/8/8/8 w - - acn 4103; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kf5 Qf7+ Kg4 Qf6 Kg3 Ke3 Kh3 Qg6 Kh4 Kf3 Kh3 Qg3#;
8/6P1/8/8/2k5/4K3/8/8 w - - acn 12; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kc5 Qd8 Kb5 Kd4 Kc6 Kc4 Kb7 Kc5 Ka7 Kc6 Ka6 Qb6#;
8/6P1/8/8/2k1K3/8/8/8 w - - acn 836; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kc5 Qd5+ Kb6 Qd6+ Kb7 Kd5 Ka7 Qb4 Ka8 Kc6 Ka7 Qb7#;
8/6P1/8/8/2Q5/4kp2/4p1p1/4K3 w - - acn 38835; acs 0; bm Qc3+ Qc5+; ce 32754; dm 7; pv Qc5+ Ke4 g8=Q f2+ Qxf2 g1=Q+ Qfxg1 Ke5 Q8g7+ Kd5 Q1d4+ Ke6 Qgf6#;
8/6P1/8/8/1k6/4K3/8/8 w - - acn 15940; acs 0; bm Kd4 g8=Q; ce 32754; dm 7; pv g8=Q Kb5 Qd5+ Kb6 Kd4 Ka6 Qd7 Kb6 Kc4 Ka6 Kc5 Ka5 Qb5#;
8/6P1/8/8/1k2K3/8/8/8 w - - acn 3470; acs 0; bm Kd4 g8=Q; ce 32754; dm 7; pv g8=Q Kc5 Qd5+ Kb6 Qd6+ Kb7 Kd5 Ka7 Qb4 Ka8 Kc6 Ka7 Qb7#;
8/6P1/8/8/1k2K3/7P/8/8 w - - acn 489482; acs 0; bm Kd4 g8=Q; ce 32754; dm 7; pv g8=Q Kc5 Qd5+ Kb6 Qd6+ Kb7 Kd5 Ka7 Qb4 Ka8 Kc6 Ka7 Qb7#;
8/6P1/8/6KP/8/3k4/8/8 w - - acn 216375; acs 0; bm g8=Q h6; ce 32754; dm 7; pv h6 Ke3 h7 Kf3 h8=Q Kg3 Qf8 Kh3 Qf1+ Kg3 g8=Q Kh2 Qb8#;
8/6P1/8/5K2/8/5k2/8/8 w - - acn 3096; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Ke3 Qd8 Kf2 Qd2+ Kf3 Qe1 Kg2 Kf4 Kh2 Kf3 Kh3 Qg3#;
8/6P1/8/4k3/8/3K4/8/8 w - - acn 3970; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kf5 Qe8 Kg5 Ke4 Kf6 Kf4 Kg7 Kf5 Kh7 Kf6 Kh6 Qg6#;
8/6P1/8/4K3/8/8/4k3/8 w - - acn 1427; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Ke3 Qg3+ Kd2 Kd5 Ke2 Kd4 Kd2 Qg2+ Kd1 Kd3 Ke1 Qg1#;
8/6P1/8/4K3/8/8/3k4/8 w - - acn 3690; acs 0; bm Kd4 Ke4 g8=Q; ce 32754; dm 7; pv g8=Q Kd3 Qb3+ Ke2 Qc3 Kf2 Kf4 Kg2 Qc2+ Kg1 Kf3 Kh1 Qg2#;
8/6P1/8/4K3/8/5k2/8/8 w - - acn 25; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Ke3 Qg3+ Kd2 Kd5 Ke2 Kd4 Kd2 Qg2+ Kd1 Kd3 Ke1 Qg1#;
8/6P1/8/4K3/8/4k3/8/8 w - - acn 103; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kf3 Qa8+ Kg3 Qc6 Kh3 Qg6 Kh2 Ke4 Kh3 Kf3 Kh4 Qg4#;
8/6P1/8/4K3/8/3k4/8/8 w - - acn 1146; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Ke3 Qg3+ Kd2 Kd5 Ke2 Kd4 Kd2 Qg2+ Kd1 Kd3 Ke1 Qg1#;
8/6P1/8/4K3/8/2k5/8/8 w - - acn 867; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kd3 Qb3+ Ke2 Qc3 Kf2 Kf4 Kg2 Qc2+ Kg1 Kf3 Kh1 Qg2#;
8/6P1/8/4K3/6k1/8/8/8 w - - acn 1819; acs 0; bm Ke4 g8=Q+; ce 32754; dm 7; pv g8=Q+ Kf3 Qa8+ Kg3 Qc6 Kh3 Qg6 Kh2 Ke4 Kh3 Kf3 Kh4 Qg4#;
8/6P1/8/4K3/5P2/5k2/8/8 w - - acn 88759; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Ke3 Qg3+ Kd2 Kd5 Ke2 Kd4 Kd2 Qg2+ Kd1 Kd3 Ke1 Qg1#;
8/6P1/8/4K3/2k5/8/8/8 w - - acn 44; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kc3 Qd5 Kc2 Qc4+ Kd2 Ke4 Ke1 Qc2 Kf1 Kf3 Kg1 Qg2#;
8/6P1/8/4K3/2k2P2/8/8/8 w - - acn 175823; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kc3 Qd5 Kc2 Qc4+ Kd2 Ke4 Ke1 Qc2 Kf1 Kf3 Kg1 Qg2#;
8/6P1/8/4K3/1k6/8/8/8 w - - acn 2385; acs 0; bm Kd4 g8=Q; ce 32754; dm 7; pv g8=Q Kc3 Qd5 Kc2 Qc4+ Kd2 Ke4 Ke1 Qc2 Kf1 Kf3 Kg1 Qg2#;
8/6P1/8/4K3/1k6/8/5P2/8 w - - acn 241382; acs 0; bm Kd4 g8=Q; ce 32754; dm 7; pv g8=Q Kc3 Qd5 Kc2 Qc4+ Kd2 Ke4 Ke1 Ke3 Kd1 Qc5 Ke1 Qc1#;
8/6P1/8/4K3/1k6/6P1/8/8 w - - acn 231864; acs 0; bm Kd4 g8=Q; ce 32754; dm 7; pv g8=Q Kc3 Qd5 Kc2 Qc4+ Kd2 Ke4 Ke1 Qc2 Kf1 Kf3 Kg1 Qg2#;
8/6P1/8/4K3/1k6/5P2/8/8 w - - acn 239903; acs 0; bm Kd4 g8=Q; ce 32754; dm 7; pv g8=Q Kc3 Qd5 Kc2 Qc4+ Kd2 Ke4 Ke1 Ke3 Kd1 Qc5 Ke1 Qc1#;
8/6P1/8/3k4/8/4K3/8/8 w - - acn 408; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Ke5 Qd8 Kf5 Qe8 Kg5 Qe6 Kh4 Qg6 Kh3 Kf3 Kh4 Qg4#;
8/6P1/8/3k4/8/3K4/8/8 w - - acn 11; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Ke5 Qe8+ Kf5 Ke3 Kg5 Qe6 Kh4 Qg6 Kh3 Kf3 Kh4 Qg4#;
8/6P1/8/3K4/8/3k4/8/8 w - - acn 2665; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Ke3 Qg3+ Kd2 Qf3 Kc2 Kc4 Kd2 Qf2+ Kd1 Kc3 Kc1 Qe1#;
8/6P1/8/3K4/8/2k5/8/8 w - - acn 2609; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kd3 Qg3+ Kd2 Qf3 Kc2 Kc4 Kd2 Qf2+ Kd1 Kc3 Kc1 Qe1#;
8/6P1/8/3K4/1k6/8/8/8 w - - acn 9699; acs 0; bm Kd4 g8=Q; ce 32754; dm 7; pv g8=Q Kc3 Qh8+ Kd3 Qd4+ Kc2 Kc4 Kb1 Qd2 Ka1 Kc3 Kb1 Qb2#;
8/6P1/8/2k5/8/4K3/8/8 w - - acn 9975; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kb5 Qd5+ Kb6 Kd4 Ka6 Qd7 Kb6 Kc4 Ka6 Kc5 Ka5 Qb5#;
8/6P1/8/2k5/8/3K4/8/8 w - - acn 12276; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qe6+ Kc7 Kd4 Kb7 Qd7+ Kb8 Kd5 Ka8 Kc6 Kb8 Qb7#;
8/6P1/8/2k5/4K3/8/8/8 w - - acn 12; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qe6+ Kc7 Kd4 Kb7 Qd7+ Kb8 Kd5 Ka8 Kc6 Kb8 Qb7#;
8/6P1/8/1k6/4K3/8/8/8 w - - acn 2705; acs 0; bm Kd4 g8=Q; ce 32754; dm 7; pv g8=Q Kc5 Qd5+ Kb6 Qd6+ Kb7 Kd5 Ka7 Qb4 Ka8 Kc6 Ka7 Qb7#;
8/6P1/7k/8/6P1/7K/8/8 w - - acn 38588; acs 0; bm g8=R; ce 32754; dm 7; pv g8=R Kh7 Rg5 Kh8 Kh4 Kh7 Kh5 Kh8 Kg6 Kg8 Rf5 Kh8 Rf8#;
8/6P1/7k/8/6K1/8/8/8 w - - acn 1341; acs 0; bm g8=R; ce 32754; dm 7; pv g8=R Kh7 Rg5 Kh8 Rg6 Kh7 Kg5 Kh8 Kf6 Kh7 Kf7 Kh8 Rh6#;
8/6P1/7N/4K3/8/2k5/8/8 w - - acn 600612; acs 1; bm Nf5 g8=Q; ce 32754; dm 7; pv g8=Q Kd3 Qg6+ Ke3 Qe4+ Kd2 Kd4 Kc1 Qe2 Kb1 Kc3 Kc1 Qe1#;
8/6P1/6PK/8/8/3k4/8/8 w - - acn 254911; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc3 Qh8+ Kd3 Qe5 Kd2 g7 Kc2 g8=Q Kd2 Qg2+ Kd3 Qge2#;
8/6P1/6K1/4k2P/8/8/8/8 w - - acn 200039; acs 0; bm g8=Q h6; ce 32754; dm 7; pv h6 Kd5 g8=Q+ Ke5 h7 Ke4 Qc4+ Ke5 h8=Q+ Kd6 Qf8+ Kd7 Qcc8#;
8/6P1/5k2/8/8/3K4/8/8 w - - acn 782; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kf5 Qe8 Kg5 Ke4 Kf6 Kf4 Kg7 Kf5 Kh7 Kf6 Kh6 Qg6#;
8/6P1/5k2/7P/6K1/8/8/8 w - - acn 288189; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Ke5 h6 Ke4 Qc4+ Ke5 h7 Kf6 h8=Q+ Ke7 Qg7+ Ke8 Qcg8#;
8/6P1/5N2/5K2/3k4/8/8/8 w - - acn 1156563; acs 1; bm Ne4 g8=Q; ce 32754; dm 7; pv g8=Q Kc3 Qc8+ Kb3 Nd5 Ka3 Qc3+ Ka2 Nb4+ Kb1 Qb3+ Kc1 Qc2#;
8/6P1/5K2/8/8/8/8/k7 w - - acn 18820; acs 0; bm Ke5 g8=Q; ce 32754; dm 7; pv g8=Q Kb2 Qc4 Kb1 Qe2 Kc1 Ke5 Kb1 Kd4 Kc1 Kc3 Kb1 Qb2#;
8/6P1/5K2/8/6kP/8/8/8 w - - acn 195310; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kf4 Qe8 Kf3 Kf5 Kf2 Kf4 Kg2 Qe2+ Kg1 Kf3 Kh1 Qg2#;
8/6P1/5K2/8/6k1/8/8/8 w - - acn 1768; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kf4 Qe8 Kf3 Kf5 Kf2 Kf4 Kg2 Qe2+ Kg1 Kf3 Kh1 Qg2#;
8/6P1/5K2/8/6k1/6P1/8/8 w - - acn 127770; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kf3 Qe6 Kxg3 Qe2 Kh3 Qf2 Kg4 Qe3 Kh4 Kf5 Kh5 Qg5#;
8/6P1/5K2/5P2/6k1/8/8/8 w - - acn 256248; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kf4 Qe8 Kg4 Qe2+ Kf4 Kg6 Kg3 Kg5 Kh3 Kf4 Kh4 Qg4#;
8/6P1/5K2/5N2/4k3/8/8/8 w - - acn 1429926; acs 1; bm g8=Q; ce 32754; dm 7; pv g8=Q Kd3 Qd5+ Kc3 Nd4 Kd3 Ke5 Ke3 Qa2 Kd3 Qc2+ Ke3 Qe2#;
8/6P1/5K2/5B2/3k4/8/8/8 w - - acn 862700; acs 1; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc5 Qf8+ Kb5 Bd3+ Kc6 Qc8+ Kd6 Be2 Kd5 Qc7 Kd4 Qe5#;
8/6P1/5K2/4P3/8/5k2/8/8 w - - acn 464276; acs 0; bm e6 g8=Q; ce 32754; dm 7; pv g8=Q Ke3 Qb3+ Ke4 e6 Kf4 Qd3 Kg4 Qe3 Kh4 Kf5 Kh5 Qg5#;
8/6P1/5K2/4N3/3k4/8/8/8 w - - acn 1327152; acs 1; bm Kf5 g8=Q; ce 32754; dm 7; pv g8=Q Kc3 Qc8+ Kd2 Kf5 Ke2 Kf4 Kf2 Qc2+ Kf1 Kf3 Kg1 Qg2#;
8/6P1/4n1p1/4p1P1/R2nkBB1/3p3R/8/2K5 w - - acn 6700602; acs 8; bm Bxe6 g8=Q; ce 32754; dm 7; pv g8=Q d2+ Bxd2 Kd5 Bxe6+ Nxe6 Qa8+ Kc5 Qb7 e4 Bb4+ Kc4 Bd6#;
8/6P1/4k3/8/8/4K3/8/8 w - - acn 8155; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kf6 Qe8 Kf5 Qe7 Kg4 Qe6+ Kh4 Qg6 Kh3 Kf3 Kh4 Qg4#;
8/6P1/4k3/8/8/3K4/8/8 w - - acn 6788; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kf6 Qe8 Kf5 Ke3 Kg5 Qe6 Kh4 Qg6 Kh3 Kf3 Kh4 Qg4#;
8/6P1/4k3/8/3K4/8/8/8 w - - acn 4584; acs 0; bm g8=Q+; ce 32754; dm 7; pv g8=Q+ Kf6 Qe8 Kf5 Ke3 Kg5 Qe6 Kh4 Qg6 Kh3 Kf3 Kh4 Qg4#;
8/6P1/4P3/p7/1P6/PPBB1P1p/1r5p/k6K w - - acn 1968318; acs 2; bm Bxb2+ e7 g8=Q; ce 32754; dm 7; pv Bxb2+ Kxb2 g8=Q a4 e7 axb3 e8=Q Ka2 Qe5 Kxa3 Qa8+ Kxb4 Qaa5#;
8/6P1/4N3/5K2/2k5/8/8/8 w - - acn 2129963; acs 2; bm Ke4 Ke5 Kf4 g8=Q; ce 32754; dm 7; pv g8=Q Kd3 Nc5+ Ke3 Qg5+ Ke2 Ne4 Kf3 Qf4+ Ke2 Qd2+ Kf3 Qf2#;
8/6P1/4BK2/8/3k4/8/8/8 w - - acn 1397779; acs 1; bm g8=Q; ce 32754; dm 7; pv g8=Q Ke4 Qg6+ Kf4 Qh6+ Ke4 Qd2 Kf3 Bf5 Kg3 Qe2 Kh4 Qh2#;
8/6P1/3k4/8/8/3K4/8/8 w - - acn 38431; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qe6+ Kc7 Kd4 Kb7 Qd7+ Kb8 Kd5 Ka8 Kc6 Kb8 Qb7#;
8/6P1/3k4/8/5K2/8/8/8 w - - acn 18606; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qc4+ Kd6 Kf5 Kd7 Qc5 Ke8 Qc7 Kf8 Kf6 Kg8 Qg7#;
8/6P1/3k4/8/4K3/8/8/8 w - - acn 3256; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qe6+ Kc7 Kd4 Kb7 Qd7+ Kb8 Kd5 Ka8 Kc6 Kb8 Qb7#;
8/6P1/3k4/5K2/8/8/8/8 w - - acn 594; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qc4+ Kb6 Ke5 Kb7 Qb5+ Kc7 Ke6 Kc8 Kd6 Kd8 Qb8#;
8/6P1/3k1K2/8/8/8/8/8 w - - acn 13; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qc4+ Kb6 Ke6 Kb7 Qb5+ Kc7 Ke7 Kc8 Kd6 Kd8 Qb8#;
8/6P1/3k1K2/8/8/8/5P2/8 w - - acn 457242; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qc4+ Kb6 Ke6 Kb7 Qb5+ Kc7 f3 Kc8 Kd6 Kd8 Qb8#;
8/6P1/3k1K2/8/8/6P1/8/8 w - - acn 43896; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qc4+ Kb6 Ke6 Kb7 Qb5+ Kc7 g4 Kc8 Kd6 Kd8 Qb8#;
8/6P1/3k1K2/8/7P/8/8/8 w - - acn 264983; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qc4+ Kb6 Ke6 Kb7 Qb5+ Kc7 h5 Kc8 Kd6 Kd8 Qb8#;
8/6P1/3k1K2/8/5P2/8/8/8 w - - acn 34068; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kc6 Qc4+ Kb6 Ke6 Kb7 Qb5+ Kc7 f5 Kc8 Kd6 Kd8 Qb8#;
8/6P1/3K4/1k6/8/8/8/8 w - - acn 16816; acs 0; bm g8=Q; ce 32754; dm 7; pv g8=Q Kb4 Qg3 Kc4 Qe3 Kb4 Qd3 Ka5 Qb3 Ka6 Kc6 Ka7 Qb7#;
8/6P1/2k5/8/4K3/8/8/8 w - - acn 11957; acs 0; bm Kd4 Ke5 g8=Q; ce 32754; dm 7; pv g8=Q Kd6 Qd8+ Ke6 Kf4 Kf7 Kf5 Kg7 Qd7+ Kg8 Kf6 Kh8 Qg7#;
8/6P1/2k2K2/8/8/8/8/8 w - - acn 2244; acs 0; bm Ke5 g8=Q; ce 32754; dm 7; pv g8=Q Kb6 Qg5 Kc6 Ke6 Kb6 Kd6 Kb7 Qb5+ Ka7 Kc6 Ka8 Qb7#;
8/6P1/2k2K2/8/8/6P1/8/8 w - - acn 329996; acs 0; bm Ke5 g8=Q; ce 32754; dm 7; pv g8=Q Kb6 Qg5 Kc6 Ke6 Kb6 Kd6 Kb7 Qb5+ Ka7 Kc6 Ka8 Qb7#;
8/6P1/2k2K2/8/8/5P2/8/8 w - - acn 329134; acs 0; bm Ke5 g8=Q; ce 32754; dm 7; pv g8=Q Kb6 Qg5 Kc6 Ke6 Kb6 Kd6 Kb7 Qb5+ Ka7 Kc6 Ka8 Qb7#;
8/6P1/2k2K2/8/5P2/8/8/8 w - - acn 475500; acs 1; bm Ke5 g8=Q; ce 32754; dm 7; pv g8=Q Kb6 Qg5 Kc6 Ke6 Kb6 Kd6 Kb7 Qb5+ Ka7 Kc6 Ka8 Qb7#;
