8/qkqqb2p/4n2P/1NRRqNQK/1B2b3/1QQQnQQP/4p2Q/qnqrr2B w - - acn 162473668; acs 265; bm Rxd7; ce 32752; dm 8; pv Rxd7 Nf4+ Qfxf4 Qxd7 Qfxe4+ Qed5 Qc7+ Qxc7 Rxc7+ Kb6 Qgxe3+ Bc5 Bxc5+ Qxc5 Nxa7#;
1Br5/2p2p2/2P2P2/5p1p/2pPp2P/1pK1k2N/1P3R2/8 w - - acn 1550570; acs 4; bm Ba7; ce 32752; dm 8; pv Ba7 Ra8 Bc5 Ra5 Bf8 f4 Bh6 Rf5 d5 Rg5 hxg5 h4 g6 fxg6 Bxf4#;
1Br2r2/1N3B2/N1p5/Pp6/k1p3R1/p1pp4/P7/K7 w - - acn 1612653; acs 3; bm Nac5+; ce 32752; dm 8; pv Nac5+ Kb4 Nxd3+ Ka4 Ndc5+ Kb4 Na6+ Ka4 Bxc4 bxc4 Rxc4+ Kb5 Rb4+ Kxa6 Rb6#;
1Bn2b2/2Nn4/2R1Pqr1/kP3p1p/6p1/1brPp3/P2P2PK/1B6 w - - acn 19408; acs 0; bm Ra6+; ce 32752; dm 8; pv Ra6+ Kb4 a3+ Kc5 Rc6+ Kd4 dxc3+ Ke5 d4+ Kf4 Nd5+ Kg5 Bf4+ Kh4 g3#;
1Bk5/2PN2p1/rpPpppP1/2p4K/8/P7/P4bP1/7R w - - acn 14408954; acs 21; bm Kg4; ce 32752; dm 8; pv Kg4 f5+ Kf3 Rxa3+ Kxf2 Rxa2+ Kg1 Ra1+ Kh2 Ra6 Ra1 f4 Rxa6 f3 Nxb6#;
1BB4n/8/8/p7/Pp1p4/1PpP1P2/kpP5/1N3R1K w - - acn 43045216; acs 76; bm Bb7 Bd7 Be6 Bf5 Bg4 f4; ce 32752; dm 8; pv f4 Ng6 f5 Ne7 Be6 Nc6 Bd6 Na7 Bd7 Nb5 Bxb5 Ka1 Nxc3+ b1=Q Rxb1#;
1B6/8/8/8/4k3/8/2KR4/8 w - - acn 7152867; acs 12; bm Rd6; ce 32752; dm 8; pv Rd6 Kf4 Kd3 Kf5 Rc6 Kg4 Ke3 Kg5 Ke4 Kg4 Bf4 Kh4 Kf3 Kh5 Rh6#;
1B6/8/8/7p/8/8/P4K2/7k w - - acn 226419; acs 0; bm a4; ce 32752; dm 8; pv a4 h4 a5 h3 Bh2 Kxh2 a6 Kh1 a7 Kh2 a8=R Kh1 Kg3 h2 Ra1#;
1B6/8/4pNK1/4P3/3q3p/4k3/2Q1P2P/8 w - - acn 35689071; acs 59; bm Ba7; ce 32752; dm 8; pv Ba7 Qxa7 Ng4+ Kd4 e3+ Kd5 Nf6+ Kxe5 Qd3 Qa4 Kg5 h3 e4 Qb4 Ng4#;
1B6/6Kn/6p1/1p6/1r6/1P1p4/4p3/2Q2b1k w - - acn 6907857; acs 16; bm Qh6+; ce 32752; dm 8; pv Qh6+ Kg2 Qh2+ Kf3 Qg3+ Ke4 Qf4+ Kd5 Qe5+ Kc6 Qd6+ Kb7 Qc7+ Ka6 Qa7#;
1B6/3p4/3p4/3p4/3p4/k2p4/1R1P4/1K6 w - - acn 1584916; acs 2; bm Ba7 Ra2+ Rb7; ce 32752; dm 8; pv Ra2+ Kb3 Ra7 Kb4 Kb2 Kc4 Ka3 Kc5 Bc7 Kb5 Ba5 Kc5 Ka4 Kc6 Rc7#;
1B6/2Nk2pP/1n4p1/4Kpp1/1rppQnR1/1pPrbb2/1RN1P1B1/3q4 w - - acn 6792908; acs 17; bm h8=Q; ce 32752; dm 8; pv h8=Q Rb5+ Nxb5 Nfd5 Qxg7+ Ne7 Kf6 Nbd5+ Qxd5+ Bxd5 Na7 Bf7 Qxf7 f4 Qxe7#;
1B6/1r4k1/1bB5/PpR5/4KN1p/8/8/8 w - - acn 27023756; acs 55; bm Rg5+; ce 32752; dm 8; pv Rg5+ Kh7 Be5 Bd8 Rh5+ Kg8 Rh8+ Kf7 Be8+ Ke7 Nd5+ Ke6 Rh6+ Bf6 Rxf6#;
1B6/1pRp2p1/1k1p4/4pp2/R4p2/8/n4p1K/1n2bB2 w - - acn 30596062; acs 73; bm Rxa2; ce 32752; dm 8; pv Rxa2 Bb4 Rb2 Nd2 Rxb4+ Ka5 Rcxb7 Nxf1+ Kh3 g5 Bc7+ Ka6 R4b6+ Ka5 Ra7#;
1B6/1pRp2p1/1k1p4/1P2pp2/Rb6/8/n4p1K/1n3B2 w - - acn 24346690; acs 54; bm Rc8; ce 32752; dm 8; pv Rc8 Ba5 Bxd6 Bb4 Bb8 Ba5 Bxe5 Bc3 Bg3 d5 Bc7+ Kc5 Bb8+ Kb6 Ba7#;
1B6/1p3K2/6pb/1pR5/3pk1B1/3ppp2/r2r4/3N1n2 w - - acn 15578468; acs 41; bm Bc8; ce 32752; dm 8; pv Bc8 Ra7 Re5+ Kf4 Rxb5+ Ke4 Re5+ Kf4 Rc5+ Ke4 Nc3+ dxc3 Rc4+ Kd5 Be6#;
1B6/1Pn5/5R2/3Pk3/6p1/5p2/8/K7 w - - acn 4393660; acs 8; bm Rf7 Rf8; ce 32752; dm 8; pv Rf7 g3 Bxc7+ Kxd5 b8=Q g2 Qd8+ Kc5 Qd6+ Kb5 Qd5+ Kb4 Bd6+ Ka4 Rf4#;
1B6/1P6/4k3/8/8/8/K7/8 w - - acn 5280691; acs 7; bm Bc7 Bf4 Bg3 Bh2; ce 32752; dm 8; pv Bc7 Kf6 b8=Q Kg6 Qb6+ Kg7 Be5+ Kf7 Qf6+ Ke8 Qe6+ Kf8 Qd7 Kg8 Qg7#;
1B5b/4pK1p/bk6/6Qp/Pp1p4/1P1qp3/8/6n1 w - - acn 992970; acs 2; bm Qa5+; ce 32752; dm 8; pv Qa5+ Kc6 Qc7+ Kd5 Qd7+ Ke4 Qc6+ Kf5 Qe6+ Kg5 Qh6+ Kg4 Qf4+ Kh3 Qg3#;
1B5K/8/8/8/7p/5N2/8/5B1k w - - acn 6612181; acs 14; bm Ba7; ce 32752; dm 8; pv Ba7 h3 Nh4 Kh2 Nf5 Kh1 Ng3+ Kh2 Ne2 Kh1 Bb8 h2 Ng3+ Kg1 Ba7#;
1B2r3/7N/K3Bp1r/2R1n2q/2p1k3/2P3Q1/2P1b3/8 w - - acn 5332661; acs 18; bm Nxf6+; ce 32752; dm 8; pv Nxf6+ Rxf6 Rxe5+ Qxe5 Qxe5+ Kf3 Qxf6+ Kg2 Bd5+ Re4 Bxe4+ Bf3 Qxf3+ Kg1 Qg2#;
1B2K1kb/n5Pp/3p3p/5P1P/3p4/4p3/1P6/8 w - - acn 348554; acs 1; bm gxh8=Q+ gxh8=R+; ce 32752; dm 8; pv gxh8=Q+ Kxh8 Bxa7 e2 Bxd4+ Kg8 Bc3 e1=Q+ Bxe1 d5 f6 d4 f7+ Kh8 f8=Q#;
1B1rN3/p6q/5pp1/PPk4b/R1P1Pp1r/2pP1Bn1/2N1P2p/4KR2 w - - acn 4601227; acs 14; bm Na1; ce 32752; dm 8; pv Na1 Kd4 Nb3+ Ke3 Bg4 Nxf1 Na1 Kd4 Nc2+ Kc5 Bd7 Rxd7 Bxa7+ Rxa7 d4#;
1B1kBKn1/3p4/3NPp2/8/1P1N4/r7/q5r1/7b w - - acn 1706545; acs 5; bm Nf7+; ce 32752; dm 8; pv Nf7+ Kc8 exd7+ Kb7 Nd6+ Ka8 d8=Q Qf7+ Bxf7 Ne7 Ba7+ Nc8 Qxc8+ Kxa7 Qb7#;
1B1k1NRK/1p1BpP1N/P4p1p/4r2q/8/3b4/8/8 w - - acn 17210327; acs 36; bm a7; ce 32752; dm 8; pv a7 Ra5 Bb5 Bxb5 Nxf6 exf6 Ne6+ Kd7 f8=Q Kxe6 Qd6+ Kf7 Rf8+ Kg6 Qxf6#;
1B1R4/8/4P2b/2K2pp1/5N2/2pNkB2/2b5/8 w - - acn 50317985; acs 124; bm e7; ce 32752; dm 8; pv e7 Ba4 Bc6 Bf8 exf8=Q Bxc6 Re8+ Be4 Qxf5 Kd2 Qxe4 Kc2 Qa4+ Kd2 Re2#;

