rrb5/BRpp1p2/K1k1n2R/Pn1p1p2/BQ1p1P2/3P4/8/8 w - - acn 3; acs 0; bm Bxb5# Qc5#; ce 32766; dm 1; pv Bxb5#;
bq1b4/1r1r1p2/3p1p2/k2Kpp2/n1B1p3/Qp2B3/8/R7 b - - acn 5; acs 0; bm Ra7# Rb4# Rb5# Rb6# Rbc7#; ce 32766; dm 1; pv Rbc7#;
bq1R4/Bk1B1N2/R2P4/Q1K5/1N6/8/8/8 w - - acn 5; acs 0; bm Bc6# Qb5# Qb6# Rb6# Rxb8#; ce 32766; dm 1; pv Bc6#;
bq1R4/2p2N2/2p5/1pK5/PQ1nkpP1/3N2p1/3BB1P1/4R3 w - - acn 7; acs 0; bm Bf1# Ng5# Qxd4# Rxd4#; ce 32766; dm 1; pv Ng5#;
bq1R4/2p2N2/2p5/1pK5/PQ1nkpP1/3N2p1/3BB1P1/4R3 b - - acn 2; acs 0; bm Qa7# Qb6#; ce 32766; dm 1; pv Qb6#;
bnrb1k1r/5P2/p3p3/7p/1PpK1p2/p2P1B2/P2R3p/2B4R b - - acn 1; acs 0; bm Bf6#; ce 32766; dm 1; pv Bf6#;
bnrb1RB1/2p1P3/1p2p2B/1Pp5/1pK1k3/1P1N1p1N/3Rp3/6Q1 w - - acn 7; acs 0; bm Bh7# Ng5# Nhf2# Qe3# Qg4# Qg6# Rf4#; ce 32766; dm 1; pv Nhf2#;
bnrb1RB1/2p1P3/1p2p2B/1Pp5/1pK1k3/1P1N1p1N/3Rp3/6Q1 b - - acn 1; acs 0; bm Bd5#; ce 32766; dm 1; pv Bd5#;
bnr5/1qPpP3/1ppKpQ2/N1p5/4p3/3kb2R/R2PN3/5B2 w - - acn 8; acs 0; bm Nc1# Nc3# Nd4# Nf4# Ng1# Ng3# Qc3# Rxe3#; ce 32766; dm 1; pv Nc3#;
bnr5/1qPpP3/1ppKpQ2/N1p5/4p3/3kb2R/R2PN3/5B2 b - - acn 1; acs 0; bm Qxc7#; ce 32766; dm 1; pv Qxc7#;
bnr4n/3pQ3/2BP4/1p3Np1/1B1p1pP1/1P1k1K2/5R2/8 w - - acn 4; acs 0; bm Qe2# Qe4# Rd2#; ce 32766; dm 1; pv Rd2#;
bnr3n1/3p4/2BP1p2/1p2pPb1/p3Kp1p/BPk2N2/1R1N4/7Q w - - acn 2; acs 0; bm Nb1# Qc1#; ce 32766; dm 1; pv Nb1#;
bnr3n1/3p4/2BP1p2/1p2pPb1/p3Kp1p/BPk2N2/1R1N4/7Q b - - acn 1; acs 0; bm Bxc6#; ce 32766; dm 1; pv Bxc6#;
bnr2b2/5pr1/p1pk3p/2Np2pP/3P2Pn/PQ5B/1P5R/4RK2 w - - acn 1; acs 0; bm Qg3#; ce 32766; dm 1; pv Qg3#;
bnr2b2/4p2r/p4kpp/Pp1p1p1P/RP1P1P1P/3R4/4P1Q1/3KNB2 w - - acn 1; acs 0; bm Qxg6#; ce 32766; dm 1; pv Qxg6#;
bnqk3r/8/2BPP3/6p1/6p1/1P1N2P1/2K4R/1r3R2 w - - acn 2; acs 0; bm Rxh8# e7#; ce 32766; dm 1; pv e7#;
bnqk2r1/1B2p2p/3p3b/rpQ5/p3P2p/PP3K2/2PP4/RNB1R3 w - - acn 1; acs 0; bm Qxc8#; ce 32766; dm 1; pv Qxc8#;
bnq5/3P2p1/r1N3R1/PP1k2p1/NQp2pP1/B4K2/1P2BP2/8 w - - acn 9; acs 0; bm Bxc4# Nc3# Qc5# Qd2# Qd6# Qxc4# Rd6#; ce 32766; dm 1; pv Nc3#;
bnq2bnr/r1ppp2k/p7/PpP2PQp/3P3P/6N1/RP1N1PP1/2B1KB1R w K - acn 1; acs 0; bm Qg6#; ce 32766; dm 1; pv Qg6#;
bnn5/P7/1r1pN3/1p2p3/1kp1Q3/2RpB3/R2P1p1p/N5bK w - - acn 1; acs 0; bm Rb3#; ce 32766; dm 1; pv Rb3#;
bnn5/P7/1r1pN3/1p2p3/1kp1Q3/2RpB3/R2P1p1p/N5bK b - - acn 1; acs 0; bm Bxe4#; ce 32766; dm 1; pv Bxe4#;
bnn4Q/5k2/2p5/pp2b3/PP6/2P4P/3P1q2/B6K b - - acn 4; acs 0; bm Qf1# Qh2# c5#; ce 32766; dm 1; pv c5#;
bnn2b2/r3k1p1/1p3r1q/p2R4/PPP5/4p3/1Q1RP2B/1N2KB1r b - - acn 2; acs 0; bm Rfxf1# Rhxf1#; ce 32766; dm 1; pv Rhxf1#;
bnkr4/8/1Q4pn/6PB/bpp4P/R1b5/4K2B/8 w - - acn 1; acs 0; bm Qc7#; ce 32766; dm 1; pv Qc7#;
bnkb4/r1P3Q1/3B2n1/8/ppRpR3/8/P2P4/5K2 w - - acn 8; acs 0; bm cxb8=Q# cxb8=R#; ce 32766; dm 1; pv cxb8=Q#;
bnk5/8/2r3P1/8/Rp6/6p1/8/6K1 b - - acn 1; acs 0; bm Rc1#; ce 32766; dm 1; pv Rc1#;
bnk5/8/2PR4/1pn5/5b2/2Bq1p2/8/1n2K3 b - - acn 2; acs 0; bm Bg3# Qe2#; ce 32766; dm 1; pv Bg3#;
bnk5/4p3/8/p4P2/P7/7p/1q4rP/b1B4K b - - acn 7; acs 0; bm Qxc1# Rg3# Rg4# Rg5# Rg6# Rg7# Rg8#; ce 32766; dm 1; pv Rg3#;
bnk5/2p1b3/qp3p1n/P4p1p/P2PBP1P/4PK2/8/6r1 b - - acn 1; acs 0; bm Qf1#; ce 32766; dm 1; pv Qf1#;
bnk4r/2bp4/1p1B2pp/3nK3/2P1P2P/3B1p2/3q1NP1/1R1Q3R b - - acn 3; acs 0; bm Qc3#; ce 32766; dm 1; pv Qc3#;
bnRq3q/NrrkpKpp/pRpp4/1p6/8/8/8/8 b - - acn 5; acs 0; bm Qhf8# Qhg8#; ce 32766; dm 1; pv Qhf8#;
bnR5/3p1k2/2pP2pP/4Kpp1/2rp2q1/1Q3N2/3n4/5B2 b - - acn 3; acs 0; bm Qe4# Qf4# Qg3#; ce 32766; dm 1; pv Qe4#;
bnR1Q3/1P3P2/1pp5/1PR5/2Pk1p2/1pNP4/1B2Pp1P/5N1K w - - acn 7; acs 0; bm Na4# Ne4# Qe5#; ce 32766; dm 1; pv Na4#;
bnQ3N1/r1P5/p3NP2/8/RP2kBP1/K2p4/BP3rPn/5R2 w - - acn 3; acs 0; bm b5#; ce 32766; dm 1; pv b5#;
bnB2r1b/2n1B3/1p4p1/3Pp3/p3KP1q/rpQ3Rp/pP2k3/R6N w - - acn 5; acs 0; bm Qd3# Qe1# Qe3# Re1# Re3#; ce 32766; dm 1; pv Re3#;
bnB2r1b/2n1B3/1p4p1/3Pp3/p3KP1q/rpQ3Rp/pP2k3/R6N b - - acn 3; acs 0; bm Bxd5# Qxf4# Rxf4#; ce 32766; dm 1; pv Bxd5#;
bn6/rr3B2/2P1N3/7P/4p2k/4P3/4K3/6r1 b - - acn 2; acs 0; bm Ra2# Rb2#; ce 32766; dm 1; pv Rb2#;
bn6/r6P/p4k2/P4N2/5p1P/2n1pP2/2p3B1/5K2 b - - acn 2; acs 0; bm c1=Q# c1=R#; ce 32766; dm 1; pv c1=Q#;
bn6/r2k2p1/p2q2P1/1Pp1p2p/1P2P2P/1RK3P1/1B6/1N1q1r2 b - - acn 3; acs 0; bm Q1d3# Q6d3# Q6d4#; ce 32766; dm 1; pv Q1d3#;
bn6/p4q2/p2k1b2/P4P2/B2r4/2K2n2/1Q1r4/B7 b - - acn 7; acs 0; bm Qc4# Re4# Rf4# Rg4# Rh4# Rxa4#; ce 32766; dm 1; pv Re4#;
bn6/kn1pp3/p2bp3/PPp1p3/2p1K1p1/2P1P1P1/8/8 w - - acn 1; acs 0; bm b6#; ce 32766; dm 1; pv b6#;
bn6/kn1pp3/p2bp3/PPp1p3/2p1K1p1/2P1P1P1/8/8 b - - acn 2; acs 0; bm Nd8# Nxa5#; ce 32766; dm 1; pv Nxa5#;
bn6/B1nr2k1/3p4/3qP2p/5p1P/2p2Pb1/4K3/6R1 b - - acn 1; acs 0; bm Qxf3#; ce 32766; dm 1; pv Qxf3#;
bn6/8/NBQ2r2/5r1p/3p1p2/1P1kpK1p/4Rn1q/1N1B4 w - - acn 2; acs 0; bm Bc2# Nb4#; ce 32766; dm 1; pv Nb4#;
bn6/8/NBQ2r2/5r1p/3p1p2/1P1kpK1p/4Rn1q/1N1B4 b - - acn 4; acs 0; bm Bxc6# Qg2# Qg3# Qh1#; ce 32766; dm 1; pv Bxc6#;
bn6/8/7Q/pP1k4/P1pPN1qP/4P2P/2K2P2/R7 w - - acn 2; acs 0; bm Nc3#; ce 32766; dm 1; pv Nc3#;
bn6/8/7N/7k/8/5np1/5q2/2B4K b - - acn 13; acs 0; bm Nd2# Nd4# Ne1# Ne5# Ng1# Ng5# Nh2# Nh4# Qf1# Qg1# Qh2# g2#; ce 32766; dm 1; pv g2#;
bn6/8/6qk/8/8/8/4B2K/8 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
bn6/8/1k6/b7/Kp6/1P6/6p1/8 b - - acn 1; acs 0; bm Bc6#; ce 32766; dm 1; pv Bc6#;
bn6/5r2/P3q2k/Kpp4p/6B1/8/3n4/8 b - - acn 1; acs 0; bm Qxa6#; ce 32766; dm 1; pv Qxa6#;
bn6/5r1k/p1r3pN/1p3PBp/Pp1Pp3/4P3/2N1K2R/1q6 b - - acn 1; acs 0; bm Rxc2#; ce 32766; dm 1; pv Rxc2#;
bn6/5pB1/rp2p1Pp/p1k1KBR1/8/2p2p1P/2P2P2/2b1N3 b - - acn 1; acs 0; bm Nd7#; ce 32766; dm 1; pv Nd7#;
bn6/4p2p/4Pp1b/1R1N1K2/1N1p3B/5k1B/1P5n/4Q3 w - - acn 3; acs 0; bm Qd1# Qe4# Qf2#; ce 32766; dm 1; pv Qf2#;
bn6/4k1n1/pPp5/2p1P3/1pP1KPp1/1r6/8/5Rq1 b - - acn 3; acs 0; bm Qd4# Qe3# Re3#; ce 32766; dm 1; pv Re3#;
bn6/3p4/2pP4/2B1p1p1/4PbP1/1p2nNp1/1R1PNkP1/1RKB3Q w - - acn 1; acs 0; bm Qg1#; ce 32766; dm 1; pv Qg1#;
bn6/3p3B/4NBr1/4P3/qp2k3/1p2p3/pN2P2P/r1QR1R1K w - - acn 6; acs 0; bm Bxg6# Nc5# Ng5# Qc4# Rd4# Rf4#; ce 32766; dm 1; pv Nc5#;
bn6/2rnk2p/pR3p2/P5p1/1PRPpq2/8/2p1PQP1/4KBN1 b - - acn 3; acs 0; bm Qc1#; ce 32766; dm 1; pv Qc1#;
bn6/2pR1p2/p1p1pP2/rp1NKP2/2PN1P2/1B1kPp2/1PrP3R/7q w - - acn 1; acs 0; bm Nb4#; ce 32766; dm 1; pv Nb4#;
bn6/2pR1p2/p1p1pP2/rp1NKP2/2PN1P2/1B1kPp2/1PrP3R/7q b - - acn 1; acs 0; bm Nxd7#; ce 32766; dm 1; pv Nxd7#;
bn6/2pP4/B1p2PR1/2K2pqN/1RN1kr2/P3p3/1P2Qp2/r1B5 w - - acn 7; acs 0; bm Qxe3#; ce 32766; dm 1; pv Qxe3#;
bn6/2pP4/B1p2PR1/2K2pqN/1RN1kr2/P3p3/1P2Qp2/r1B5 b - - acn 2; acs 0; bm Nxa6# Nxd7#; ce 32766; dm 1; pv Nxa6#;
bn6/2p5/r4r1R/3Q1p2/6Pp/1N5P/2P1k2P/1R4BK b - - acn 1; acs 0; bm Bxd5#; ce 32766; dm 1; pv Bxd5#;
bn6/2p5/r2p1pN1/3k1Pp1/3b1pP1/2Q1pK2/4B3/3R4 w - - acn 4; acs 0; bm Qc4# Rxd4#; ce 32766; dm 1; pv Rxd4#;
bn6/2k5/3r3p/P1p5/2P2n2/3p4/4rp2/b2K3N b - - acn 3; acs 0; bm f1=Q# f1=R#; ce 32766; dm 1; pv f1=Q#;
bn6/2k5/2p5/3p2bp/2p1N2P/6p1/3BPr2/3r1BKR b - - acn 1; acs 0; bm Rdxf1#; ce 32766; dm 1; pv Rdxf1#;
bn6/2k2rrp/p5pb/PpK1ppP1/1PP1P3/8/4B2P/B3R3 b - - acn 1; acs 0; bm Nd7#; ce 32766; dm 1; pv Nd7#;
bn6/2b2p2/1R3Pk1/K1p4p/B7/q7/np3p1p/2B2r2 b - - acn 1; acs 0; bm Qb4#; ce 32766; dm 1; pv Qb4#;
bn6/1kBP4/6p1/Pp1q4/NP6/K7/2r5/8 b - - acn 2; acs 0; bm Qa2# Ra2#; ce 32766; dm 1; pv Ra2#;
bn6/1B1p4/2rQ1R2/P3P2k/Rp6/4PPP1/2P4p/5KN1 w - - acn 1; acs 0; bm Rf5#; ce 32766; dm 1; pv Rf5#;
bn5r/p3q2k/2r5/NP1p1p1K/5b2/3P1n2/P5pP/QR6 b - - acn 6; acs 0; bm Qe8# Qf7# Qg5# Qh4# Rh6#; ce 32766; dm 1; pv Rh6#;
bn5r/6rp/1Pp2Pkb/2ppn3/p2Q2p1/7P/P1PP1q2/RN1K1R1B b - - acn 1; acs 0; bm Qxf1#; ce 32766; dm 1; pv Qxf1#;
bn5r/1r1pkNB1/pp4q1/P2p3p/P1P1pp1p/8/3R3K/1NQ2B1R b - - acn 1; acs 0; bm Qg3#; ce 32766; dm 1; pv Qg3#;
bn5r/1r1p4/1p5R/pP2pk2/P2P2n1/1pP1B1P1/5P2/1NKQ1B2 w - - acn 3; acs 0; bm Qf3#; ce 32766; dm 1; pv Qf3#;
bn5k/Q7/4p2P/1n1PPp2/2r2P1P/n4N1q/P5R1/R3K3 w - - acn 1; acs 0; bm Qg7#; ce 32766; dm 1; pv Qg7#;
bn5k/7P/pR4P1/2p5/1n3p1K/2r5/1B6/3B4 w - - acn 1; acs 0; bm Bxc3#; ce 32766; dm 1; pv Bxc3#;
bn5k/2B4r/1r1PB2n/1p2p3/6p1/3p2P1/2N4K/3qb1R1 b - - acn 3; acs 0; bm Nf5# Nf7# Ng8#; ce 32766; dm 1; pv Nf7#;
bn5Q/6p1/1qp1k1P1/rp3p2/pP4nN/P2P4/2P1K2P/1RBB2b1 b - - acn 1; acs 0; bm Qf2#; ce 32766; dm 1; pv Qf2#;
bn5N/2k1p1b1/rpp2p2/3pP2p/3K1Pq1/1pPPBR2/P7/RN1B4 b - - acn 3; acs 0; bm c5# fxe5#; ce 32766; dm 1; pv fxe5#;
bn4r1/5rpk/p5N1/1P3QP1/1pP1Pp2/1P1P4/2R2P2/K2B2R1 w - - acn 2; acs 0; bm Rh1#; ce 32766; dm 1; pv Rh1#;
bn4qr/4rn2/p2pB1R1/Ppp1kPBP/3b4/1P3P1p/2P1N3/RQ1K4 w - - acn 3; acs 0; bm Bf4# Bf6#; ce 32766; dm 1; pv Bf6#;
bn4q1/3p1k2/3Prp2/2b2K2/8/3r4/3r4/8 b - - acn 3; acs 0; bm Qg5# Rf2# Rf3#; ce 32766; dm 1; pv Rf2#;
bn4nr/r1qp1kb1/3Pp2p/p1p3p1/P1P2pP1/1p1K1P2/RP2Q2P/1N1B2NR b - - acn 1; acs 0; bm Qxd6#; ce 32766; dm 1; pv Qxd6#;
bn4nr/3kb2p/rP4P1/p1PpqpP1/1Rp1pP2/P1P1K2R/3BP3/1Q4NB b - - acn 1; acs 0; bm Bxc5#; ce 32766; dm 1; pv Bxc5#;
bn4nr/3k4/p3p2p/6p1/1BN1P1P1/4pB1Q/P2q1P1P/4RK1R b - - acn 1; acs 0; bm Qxf2#; ce 32766; dm 1; pv Qxf2#;
bn4n1/2k3pp/1p3p1P/5P2/pRP2N2/P3q3/6PR/2B4K b - - acn 2; acs 0; bm Qe1# Qxc1#; ce 32766; dm 1; pv Qe1#;
bn4kr/2b2p2/r2Q3P/pB1p3N/PP1PPp2/5q2/2R5/R1B1K3 w - - acn 1; acs 0; bm Nf6#; ce 32766; dm 1; pv Nf6#;
bn4k1/3R4/3pR3/1B5P/2rp4/1K4B1/5P2/8 w - - acn 1; acs 0; bm Re8#; ce 32766; dm 1; pv Re8#;
bn4R1/n4N2/8/8/R1N2p1p/3P1k1P/4r3/3BQ1BK w - - acn 8; acs 0; bm Bxe2# Nce5# Nd2# Nfe5# Ng5# Qf1# Qf2# Qxe2#; ce 32766; dm 1; pv Nfe5#;
bn4R1/1RN1kN2/4P3/p4Pr1/7B/2QP4/7P/7K w - - acn 10; acs 0; bm Bxg5# Nd5# Re8# f6#; ce 32766; dm 1; pv f6#;
bn4Q1/8/2k5/p2p1p2/P1N3N1/1P1r3r/6B1/5K2 w - - acn 1; acs 0; bm Qc8#; ce 32766; dm 1; pv Qc8#;
bn4Q1/4n1p1/2pp3k/2P4p/pp2pp1P/N7/P2PN3/1RB1KBR1 w - - acn 2; acs 0; bm Qh8# Qxg7#; ce 32766; dm 1; pv Qh8#;
bn4Q1/4b3/3pNk2/3p3B/3p2P1/2p2KB1/2r1NpP1/1q1n1r2 w - - acn 2; acs 0; bm Qf7# Qg6#; ce 32766; dm 1; pv Qg6#;
bn4Q1/2rk4/p1p5/4Q2p/p1PP1K2/4R3/4PP2/2q2R2 w - - acn 3; acs 0; bm Qe7# Qee6# Qge8#; ce 32766; dm 1; pv Qge8#;
bn4B1/3r1pN1/1p2RB1N/1PPk3p/2R4p/2p1pKp1/Q3P1n1/4b1q1 w - - acn 2; acs 0; bm Re5# Rxc3#; ce 32766; dm 1; pv Re5#;
bn4B1/3r1pN1/1p2RB1N/1PPk3p/2R4p/2p1pKp1/Q3P1n1/4b1q1 b - - acn 2; acs 0; bm Qf1# Qf2#; ce 32766; dm 1; pv Qf2#;
bn3rk1/r2p4/pB1P1p2/1pp1pPPp/1P1P4/1K6/P3n1BP/RNq3NR b - - acn 2; acs 0; bm Nxd4# c4#; ce 32766; dm 1; pv c4#;
bn3r2/3p1p2/8/p2p2R1/P1p4p/4pR2/4K3/1r2b2k w - - acn 1; acs 0; bm Rh3#; ce 32766; dm 1; pv Rh3#;
bn3r1k/4p1np/2P2Q2/PpP3pP/p7/3P1P2/P3B3/RN3KR1 w - - acn 1; acs 0; bm Qxf8#; ce 32766; dm 1; pv Qxf8#;
bn3r1k/4Nppp/4pn1B/1qP5/2p5/4P3/1P2BP1P/4K1R1 w - - acn 1; acs 0; bm Bxg7#; ce 32766; dm 1; pv Bxg7#;
bn3kr1/8/1pp1Q1p1/1p1p2N1/5P2/3P4/N6P/4KBnR w - - acn 1; acs 0; bm Qf7#; ce 32766; dm 1; pv Qf7#;
bn3k2/5r2/7N/r7/P2q4/7p/5Q2/4K3 w - - acn 1; acs 0; bm Qxf7#; ce 32766; dm 1; pv Qxf7#;
bn3k2/1q2pPpp/pr1BKn2/1p2N3/8/8/3prp2/8 b - - acn 3; acs 0; bm Qc8# Qd7#; ce 32766; dm 1; pv Qd7#;
bn3k2/1Q6/3pr2p/2Rn1pN1/7P/p2KN1PR/PP6/5B2 w - - acn 1; acs 0; bm Qf7#; ce 32766; dm 1; pv Qf7#;
bn3k1r/4b2p/r6n/1ppq2p1/1P1N1P2/6Q1/P2PN2P/1KBRR3 b - - acn 1; acs 0; bm Qxa2#; ce 32766; dm 1; pv Qxa2#;
bn3k1r/3p3p/1Bp1pPp1/1rP3K1/3Pq3/Pp2P1P1/1P3N2/2RQ4 b - - acn 1; acs 0; bm h6#; ce 32766; dm 1; pv h6#;
bn3k1K/4R3/6p1/2pQ4/r3p1p1/3P4/4P2N/1n1q4 w - - acn 2; acs 0; bm Qd8# Qf7#; ce 32766; dm 1; pv Qd8#;
bn3brn/3R3P/pq6/2kPB3/2ppp3/NQP4r/4KP2/6N1 w - - acn 3; acs 0; bm Bxd4# Qxc4# cxd4#; ce 32766; dm 1; pv cxd4#;
bn3br1/r5p1/p2Pp3/1k3p1P/1p1K1P2/3PPp2/P1N1N3/2R5 b - - acn 1; acs 0; bm Nc6#; ce 32766; dm 1; pv Nc6#;
bn3bnr/4kp1p/2P1p3/3p2p1/3P2qP/NpP2P2/2rBP1PR/R2QKBN1 b - - acn 1; acs 0; bm Qg3#; ce 32766; dm 1; pv Qg3#;
bn3bnr/4kNpp/rppp4/p2Q4/Pq2p3/4P1PN/KPP2PBP/1RB3R1 b - - acn 1; acs 0; bm Qxa4#; ce 32766; dm 1; pv Qxa4#;
bn3b2/r2pkppr/p1p5/3P3p/1pQ1n2P/N5qR/PPP1P1P1/R1K2BN1 b - - acn 1; acs 0; bm Qe1#; ce 32766; dm 1; pv Qe1#;
bn3b1r/3pp3/r1pkP2Q/1pN4P/1PPP3p/p1K3R1/P4P2/R1B3q1 w - - acn 2; acs 0; bm Bf4# Qf4#; ce 32766; dm 1; pv Bf4#;
bn3R2/1N2b3/1kp2P2/5P2/1p1pp2P/1NqnP3/6B1/1K6 b - - acn 1; acs 0; bm Qb2#; ce 32766; dm 1; pv Qb2#;
bn3R1R/2p1P3/2r3pB/3n2Q1/N1P1k3/4p2p/2N1Pp1p/5rbK w - - acn 3; acs 0; bm Qxd5#; ce 32766; dm 1; pv Qxd5#;
bn3Q2/2Nk4/2r1p3/P5Pp/p2pp2P/P1p3nN/1B5K/5R1b w - - acn 1; acs 0; bm Rf7#; ce 32766; dm 1; pv Rf7#;
bn3K1n/k6q/2P5/1PR1p1p1/5pr1/b1P5/R1P3r1/Q5B1 b - - acn 1; acs 0; bm Qf7#; ce 32766; dm 1; pv Qf7#;
bn2rk2/3P1p2/5PQp/r6N/1q6/P2B1P2/1RP2bPN/3KR3 w - - acn 4; acs 0; bm Qg7# Rxe8# dxe8=Q# dxe8=R#; ce 32766; dm 1; pv dxe8=Q#;
bn2r3/5rk1/p1pP1N1p/1N3p1P/PPP5/3p4/5q2/2RK4 b - - acn 3; acs 0; bm Qe1# Qe2# Re1#; ce 32766; dm 1; pv Re1#;
bn2r1kn/r1pP3p/qP5P/p4pp1/5N2/PP2B3/3NP3/R2QKBR1 w - - acn 1; acs 0; bm dxe8=Q#; ce 32766; dm 1; pv dxe8=Q#;
bn2r1k1/6p1/P7/4pp2/P7/2BPK2p/3NR2r/8 b - - acn 1; acs 0; bm f4#; ce 32766; dm 1; pv f4#;
bn2qkr1/3pp3/5p1p/p7/PrQ5/b1NPPp1N/2P4n/4KBR1 w - - acn 2; acs 0; bm Qxg8# Rxg8#; ce 32766; dm 1; pv Rxg8#;
bn2qb2/r3p2r/p2k4/KB1pNp1p/1PpB2p1/P2PP1PP/2P1RP1R/5N2 b - - acn 1; acs 0; bm Qxb5#; ce 32766; dm 1; pv Qxb5#;
bn2q1Qr/r1pp3p/5b1k/1pP3p1/1p3PPP/P1NP3R/4P3/R1B1KBN1 w Q - acn 1; acs 0; bm hxg5#; ce 32766; dm 1; pv hxg5#;
bn2nk1b/8/4Q1Pp/1p2p1p1/4P1P1/p6B/1p2RK1P/B7 w - - acn 1; acs 0; bm Qf7#; ce 32766; dm 1; pv Qf7#;
bn2n1qb/1k2pp2/p6r/7p/1p5K/8/8/B1r5 b - - acn 2; acs 0; bm Qg4# Rh1#; ce 32766; dm 1; pv Rh1#;
bn2n1qB/pk2pp2/7r/8/1p5p/7K/8/b1r5 b - - acn 2; acs 0; bm Qg3# Rh1#; ce 32766; dm 1; pv Rh1#;
bn2kr2/r7/4p2p/1P1p2pP/3pnP2/3R1P2/3bP1B1/N4KNR b - - acn 1; acs 0; bm Rxa1#; ce 32766; dm 1; pv Rxa1#;
bn2kbnr/8/3p1P2/1Pp3rp/p7/2P1PqPP/PB3P1N/3R1KR1 b - - acn 1; acs 0; bm Qxd1#; ce 32766; dm 1; pv Qxd1#;
bn2kbn1/r5p1/1pp1p3/pP1p1rPp/P2P4/q3RPpN/2PNP2P/4KBR1 b - - acn 1; acs 0; bm Qc1#; ce 32766; dm 1; pv Qc1#;
bn2kb2/7r/4P2p/1Rp3QP/6p1/3p3N/8/K4B2 w - - acn 1; acs 0; bm Rxb8#; ce 32766; dm 1; pv Rxb8#;
bn2kb2/4p2r/1Q2P1p1/1PpP1n2/3q2Pp/5PNP/6K1/5BR1 w - - acn 1; acs 0; bm Qxb8#; ce 32766; dm 1; pv Qxb8#;
bn2kB2/2Q5/4P1P1/1p6/P3p3/RpPPP2r/4KR2/1N3B2 w - - acn 3; acs 0; bm Qc8# Qe7# Qxb8#; ce 32766; dm 1; pv Qc8#;
bn2k3/b5p1/r4BP1/8/2p1P3/Q5R1/P7/RN5K w - - acn 1; acs 0; bm Qe7#; ce 32766; dm 1; pv Qe7#;
bn2k3/R2p2b1/Q2q1p1r/6p1/1p3PPp/4p1nP/1r2NN2/4K1R1 b - - acn 1; acs 0; bm Qd2#; ce 32766; dm 1; pv Qd2#;
bn2k3/8/8/P4p2/2p5/4B1r1/5K2/1q6 b - - acn 1; acs 0; bm Rg2#; ce 32766; dm 1; pv Rg2#;
bn2k3/4P3/r4P2/2pp4/2p2P1P/B4N1R/3q1Nr1/5KR1 b - - acn 2; acs 0; bm Qxf2# Rxf2#; ce 32766; dm 1; pv Rxf2#;
bn2k2r/2p3pR/2r5/P2Q1pP1/1BPN1P2/4p1P1/3PP3/R4BK1 w - - acn 1; acs 0; bm Rxh8#; ce 32766; dm 1; pv Rxh8#;
bn2k1r1/4bp1p/r2p3P/Pp1P1nB1/P5P1/2p4p/2P1N1q1/1NRK4 b - - acn 1; acs 0; bm Qf1#; ce 32766; dm 1; pv Qf1#;
bn2k1nr/8/pP2p1Nb/q2r3p/1PP1PBpP/N5P1/2Rp1PB1/5K1R b - - acn 1; acs 0; bm d1=Q#; ce 32766; dm 1; pv d1=Q#;
bn2k1n1/3rp3/1pQ2ppb/P2P4/1P6/B1p2p2/N2P1P1r/3R1K1R b - - acn 1; acs 0; bm Rxh1#; ce 32766; dm 1; pv Rxh1#;
bn2Rb2/r7/5rpn/p1pp2Qp/Pp1k4/BP4PP/R1PP1pK1/8 w - - acn 4; acs 0; bm Bb2# Qe3# Qe5# Qxf6#; ce 32766; dm 1; pv Bb2#;
bn1rkbr1/pq2np2/3pp2p/1p4P1/2p1PBN1/PPPP2PP/4Q3/RN2KBR1 w Q - acn 1; acs 0; bm Nf6#; ce 32766; dm 1; pv Nf6#;
bn1rkb2/4P2r/2Np1pP1/2BP3p/p1P2K2/PP6/4q1R1/1N5n w - - acn 2; acs 0; bm exd8=Q# exd8=R#; ce 32766; dm 1; pv exd8=Q#;
bn1r4/3p2n1/2p2pP1/rpk1p2p/Pb2P3/1P5P/1R1PNR2/1NBK1BQ1 w - - acn 1; acs 0; bm Rxf6#; ce 32766; dm 1; pv Rxf6#;
bn1r4/3n1k2/1ppPp2R/8/r2P1p2/1pP5/3R2q1/3K1BN1 b - - acn 2; acs 0; bm Qxf1# Ra1#; ce 32766; dm 1; pv Ra1#;
bn1r3r/3pb1kp/4Q3/2p2P2/p3P1qP/P1PK1NP1/8/R1B3NR w - - acn 1; acs 0; bm Bh6#; ce 32766; dm 1; pv Bh6#;
bn1r3k/1r1p4/pBp5/4P3/1Pp2QR1/PNP2K2/5b2/8 w - - acn 1; acs 0; bm Qh6#; ce 32766; dm 1; pv Qh6#;
bn1r1k2/3B3Q/pp1KP3/8/P1PP4/2N4p/1P6/4b1N1 w - - acn 3; acs 0; bm Qf7# Qh8# e7#; ce 32766; dm 1; pv e7#;
bn1qr3/2prb3/2p2pN1/2R2Q2/1BNk1pP1/3npK2/B3P1P1/3R4 w - - acn 4; acs 0; bm Qe4# Qxd3# Qxf4# Rxd3#; ce 32766; dm 1; pv Rxd3#;
bn1qr1nR/4pP2/2ppK3/3R4/6k1/4B1P1/4rP2/3B2NQ w - - acn 11; acs 0; bm Bxe2# Qe4# Qf3# Qh3# Qh4# Qh5# Rd4# Rg5# Rh4#; ce 32766; dm 1; pv Bxe2#;
